inspection_id,road_id,inspection_date,inspector_agency,condition_score,surface_damage_pct,waterlogging_flag,drainage_status,remarks
INSP-0022-3,MA-RD-SEG-0022,2024-08-24,ThirdParty,59.1,28.9,TRUE,good,
INSP-0022-4,MA-RD-SEG-0022,2025-02-20,NHAI,44.6,3.9,TRUE,partial,
INSP-0022-5,MA-RD-SEG-0022,2025-08-19,ThirdParty,47.6,34,TRUE,good,
INSP-0023-1,MA-RD-SEG-0023,2023-08-30,NHAI,68,12.6,FALSE,none,
INSP-0023-2,MA-RD-SEG-0023,2024-02-26,Municipality,65.9,30.5,FALSE,good,
INSP-0023-3,MA-RD-SEG-0023,2024-08-24,State PWD,63.2,5.1,TRUE,partial,
INSP-0023-4,MA-RD-SEG-0023,2025-02-20,State PWD,45.4,10.6,FALSE,partial,
INSP-0023-5,MA-RD-SEG-0023,2025-08-19,ThirdParty,59.3,11.1,TRUE,none,
INSP-0024-1,MA-RD-SEG-0024,2023-08-30,ThirdParty,75,14.7,FALSE,blocked,
INSP-0024-2,MA-RD-SEG-0024,2024-02-26,Municipality,69.3,18.4,FALSE,partial,
INSP-0024-3,MA-RD-SEG-0024,2024-08-24,Municipality,67.4,34,FALSE,none,
INSP-0024-4,MA-RD-SEG-0024,2025-02-20,ThirdParty,61.1,21.7,TRUE,partial,
INSP-0024-5,MA-RD-SEG-0024,2025-08-19,ThirdParty,51.7,14.9,FALSE,partial,
INSP-0025-1,MA-RD-SEG-0025,2023-08-30,ThirdParty,69,20.1,TRUE,none,
INSP-0025-2,MA-RD-SEG-0025,2024-02-26,Municipality,64.5,1.8,TRUE,blocked,
INSP-0025-3,MA-RD-SEG-0025,2024-08-24,ThirdParty,55.3,22.8,TRUE,partial,
INSP-0025-4,MA-RD-SEG-0025,2025-02-20,State PWD,61,25.5,FALSE,none,
INSP-0025-5,MA-RD-SEG-0025,2025-08-19,Municipality,56.7,22.4,TRUE,partial,
INSP-0026-1,MA-RD-SEG-0026,2023-08-30,Municipality,89,18.2,TRUE,blocked,
INSP-0026-2,MA-RD-SEG-0026,2024-02-26,State PWD,81.3,27.2,TRUE,partial,
INSP-0026-3,MA-RD-SEG-0026,2024-08-24,Municipality,75,34.1,FALSE,good,
INSP-0026-4,MA-RD-SEG-0026,2025-02-20,State PWD,72,18.1,FALSE,blocked,
INSP-0026-5,MA-RD-SEG-0026,2025-08-19,Municipality,57.7,21.7,TRUE,good,
INSP-0027-1,MA-RD-SEG-0027,2023-08-30,NHAI,81,36.1,TRUE,blocked,
INSP-0027-2,MA-RD-SEG-0027,2024-02-26,State PWD,73.7,21.6,FALSE,blocked,
INSP-0027-3,MA-RD-SEG-0027,2024-08-24,NHAI,67.1,38.3,TRUE,partial,
INSP-0027-4,MA-RD-SEG-0027,2025-02-20,Municipality,67.3,22.3,TRUE,blocked,
INSP-0027-5,MA-RD-SEG-0027,2025-08-19,NHAI,50.6,21.6,TRUE,partial,
INSP-0028-1,MA-RD-SEG-0028,2023-08-30,State PWD,72,36.5,TRUE,good,
INSP-0028-2,MA-RD-SEG-0028,2024-02-26,Municipality,65.3,37,FALSE,none,
INSP-0028-3,MA-RD-SEG-0028,2024-08-24,Municipality,61.4,13.8,TRUE,blocked,
INSP-0028-4,MA-RD-SEG-0028,2025-02-20,NHAI,63.8,34.7,FALSE,none,
INSP-0028-5,MA-RD-SEG-0028,2025-08-19,NHAI,59.3,15.7,FALSE,none,
INSP-0029-1,MA-RD-SEG-0029,2023-08-30,NHAI,61,35.8,TRUE,good,
INSP-0029-2,MA-RD-SEG-0029,2024-02-26,State PWD,57.8,30.1,TRUE,good,
INSP-0029-3,MA-RD-SEG-0029,2024-08-24,State PWD,55.2,20,FALSE,none,
INSP-0029-4,MA-RD-SEG-0029,2025-02-20,NHAI,41.4,32.9,TRUE,partial,
INSP-0029-5,MA-RD-SEG-0029,2025-08-19,NHAI,41.5,22.9,FALSE,none,
INSP-0030-1,MA-RD-SEG-0030,2023-08-30,ThirdParty,82,3.3,FALSE,blocked,
INSP-0030-2,MA-RD-SEG-0030,2024-02-26,State PWD,74.6,16.7,FALSE,none,
INSP-0030-3,MA-RD-SEG-0030,2024-08-24,ThirdParty,71.6,14.7,TRUE,blocked,
INSP-0030-4,MA-RD-SEG-0030,2025-02-20,NHAI,66.5,1.1,FALSE,none,
INSP-0030-5,MA-RD-SEG-0030,2025-08-19,Municipality,71.1,24.6,TRUE,blocked,
INSP-0031-1,MA-RD-SEG-0031,2023-08-30,State PWD,69,4.2,FALSE,blocked,
INSP-0031-2,MA-RD-SEG-0031,2024-02-26,State PWD,66.2,11.2,TRUE,blocked,
INSP-0031-3,MA-RD-SEG-0031,2024-08-24,Municipality,58.3,38.8,TRUE,partial,
INSP-0031-4,MA-RD-SEG-0031,2025-02-20,State PWD,55.6,26,TRUE,partial,
INSP-0031-5,MA-RD-SEG-0031,2025-08-19,ThirdParty,53.1,9.2,TRUE,blocked,
INSP-0032-1,MA-RD-SEG-0032,2023-08-30,NHAI,87,17.8,TRUE,blocked,
INSP-0032-2,MA-RD-SEG-0032,2024-02-26,NHAI,84.7,27.3,TRUE,partial,
INSP-0032-3,MA-RD-SEG-0032,2024-08-24,Municipality,72.4,37.1,FALSE,partial,
INSP-0032-4,MA-RD-SEG-0032,2025-02-20,Municipality,69.6,17,FALSE,none,
INSP-0032-5,MA-RD-SEG-0032,2025-08-19,Municipality,61.9,28.7,TRUE,partial,
INSP-0033-1,MA-RD-SEG-0033,2023-08-30,State PWD,78,36.1,FALSE,partial,
INSP-0033-2,MA-RD-SEG-0033,2024-02-26,ThirdParty,70.1,13.2,TRUE,none,
INSP-0033-3,MA-RD-SEG-0033,2024-08-24,Municipality,62.4,19,FALSE,good,
INSP-0033-4,MA-RD-SEG-0033,2025-02-20,ThirdParty,56.5,35.3,FALSE,partial,
INSP-0033-5,MA-RD-SEG-0033,2025-08-19,Municipality,51.2,13.4,TRUE,none,
INSP-0034-1,MA-RD-SEG-0034,2023-08-30,NHAI,90,21.2,FALSE,partial,
INSP-0034-2,MA-RD-SEG-0034,2024-02-26,State PWD,84.6,11.7,TRUE,partial,
INSP-0034-3,MA-RD-SEG-0034,2024-08-24,Municipality,78.4,5.2,FALSE,none,
INSP-0034-4,MA-RD-SEG-0034,2025-02-20,NHAI,77.7,3.8,TRUE,none,
INSP-0034-5,MA-RD-SEG-0034,2025-08-19,NHAI,80.4,13.8,FALSE,blocked,
INSP-0035-1,MA-RD-SEG-0035,2023-08-30,ThirdParty,86,33,FALSE,partial,
INSP-0035-2,MA-RD-SEG-0035,2024-02-26,State PWD,78,5.3,FALSE,good,
INSP-0035-3,MA-RD-SEG-0035,2024-08-24,Municipality,80.2,29.4,FALSE,partial,
INSP-0035-4,MA-RD-SEG-0035,2025-02-20,ThirdParty,76.7,28.3,TRUE,blocked,
INSP-0035-5,MA-RD-SEG-0035,2025-08-19,State PWD,64.8,30.4,FALSE,partial,
INSP-0036-1,MA-RD-SEG-0036,2023-08-30,State PWD,67,27.2,TRUE,good,
INSP-0036-2,MA-RD-SEG-0036,2024-02-26,ThirdParty,62.6,26.5,FALSE,none,
INSP-0036-3,MA-RD-SEG-0036,2024-08-24,Municipality,53.2,23.4,FALSE,good,
INSP-0036-4,MA-RD-SEG-0036,2025-02-20,ThirdParty,52.8,9.6,TRUE,blocked,
INSP-0036-5,MA-RD-SEG-0036,2025-08-19,Municipality,50.3,25.1,TRUE,blocked,
INSP-0037-1,MA-RD-SEG-0037,2023-08-30,Municipality,84,29.8,TRUE,good,
INSP-0037-2,MA-RD-SEG-0037,2024-02-26,NHAI,80.8,3.6,FALSE,blocked,
INSP-0037-3,MA-RD-SEG-0037,2024-08-24,NHAI,76.9,30,FALSE,good,
INSP-0037-4,MA-RD-SEG-0037,2025-02-20,ThirdParty,61.6,34.2,FALSE,blocked,
INSP-0037-5,MA-RD-SEG-0037,2025-08-19,State PWD,69.7,30.6,TRUE,partial,
INSP-0038-1,MA-RD-SEG-0038,2023-08-30,State PWD,89,3.8,FALSE,partial,
INSP-0038-2,MA-RD-SEG-0038,2024-02-26,NHAI,82.1,7.8,TRUE,none,
INSP-0038-3,MA-RD-SEG-0038,2024-08-24,State PWD,79.5,31.9,FALSE,blocked,
INSP-0038-4,MA-RD-SEG-0038,2025-02-20,ThirdParty,79.7,34.8,TRUE,none,
INSP-0038-5,MA-RD-SEG-0038,2025-08-19,NHAI,80.4,39.5,FALSE,none,
INSP-0039-1,MA-RD-SEG-0039,2023-08-30,State PWD,64,14.5,FALSE,good,
INSP-0039-2,MA-RD-SEG-0039,2024-02-26,Municipality,57.4,7.8,TRUE,good,
INSP-0039-3,MA-RD-SEG-0039,2024-08-24,NHAI,56.7,19.5,TRUE,blocked,
INSP-0039-4,MA-RD-SEG-0039,2025-02-20,State PWD,51.2,4.5,FALSE,good,
INSP-0039-5,MA-RD-SEG-0039,2025-08-19,ThirdParty,51.2,32.9,TRUE,none,
INSP-0040-1,MA-RD-SEG-0040,2023-08-30,NHAI,74,4.6,FALSE,none,
INSP-0040-2,MA-RD-SEG-0040,2024-02-26,State PWD,67.5,33.5,TRUE,blocked,
INSP-0040-3,MA-RD-SEG-0040,2024-08-24,Municipality,64.8,3.9,TRUE,good,
INSP-0040-4,MA-RD-SEG-0040,2025-02-20,NHAI,55.9,5.5,TRUE,blocked,
INSP-0040-5,MA-RD-SEG-0040,2025-08-19,Municipality,59.8,23.3,FALSE,blocked,
INSP-0041-1,MA-RD-SEG-0041,2023-08-30,NHAI,62,20.4,FALSE,good,
INSP-0041-2,MA-RD-SEG-0041,2024-02-26,Municipality,55.8,26.6,TRUE,good,
INSP-0041-3,MA-RD-SEG-0041,2024-08-24,NHAI,48.6,25.1,FALSE,none,
INSP-0041-4,MA-RD-SEG-0041,2025-02-20,NHAI,42.5,31.5,TRUE,blocked,
INSP-0041-5,MA-RD-SEG-0041,2025-08-19,State PWD,32.4,39.1,FALSE,partial,
INSP-0042-1,MA-RD-SEG-0042,2023-08-30,ThirdParty,61,27.1,FALSE,blocked,
INSP-0042-2,MA-RD-SEG-0042,2024-02-26,NHAI,58.3,9,FALSE,good,
INSP-0042-3,MA-RD-SEG-0042,2024-08-24,NHAI,48.8,12.9,FALSE,partial,
INSP-0042-4,MA-RD-SEG-0042,2025-02-20,ThirdParty,41.2,27.1,FALSE,none,
INSP-0042-5,MA-RD-SEG-0042,2025-08-19,ThirdParty,48.1,24.5,FALSE,partial,
INSP-0043-1,MA-RD-SEG-0043,2023-08-30,ThirdParty,84,36.1,TRUE,none,
INSP-0043-2,MA-RD-SEG-0043,2024-02-26,NHAI,80.1,25.2,TRUE,blocked,
INSP-0043-3,MA-RD-SEG-0043,2024-08-24,Municipality,73.4,15.9,TRUE,none,
INSP-0043-4,MA-RD-SEG-0043,2025-02-20,NHAI,63.2,18.9,FALSE,none,
INSP-0043-5,MA-RD-SEG-0043,2025-08-19,Municipality,54.7,26.7,TRUE,blocked,
INSP-0044-1,MA-RD-SEG-0044,2023-08-30,Municipality,88,27.8,FALSE,good,
INSP-0044-2,MA-RD-SEG-0044,2024-02-26,State PWD,85.5,24.3,FALSE,good,
INSP-0044-3,MA-RD-SEG-0044,2024-08-24,NHAI,80.9,22.9,TRUE,blocked,
INSP-0044-4,MA-RD-SEG-0044,2025-02-20,Municipality,72.8,23.5,TRUE,partial,
INSP-0044-5,MA-RD-SEG-0044,2025-08-19,State PWD,73.1,22.8,TRUE,blocked,
INSP-0045-1,MA-RD-SEG-0045,2023-08-30,Municipality,74,19.9,FALSE,partial,
INSP-0045-2,MA-RD-SEG-0045,2024-02-26,ThirdParty,70.4,12,TRUE,none,
INSP-0045-3,MA-RD-SEG-0045,2024-08-24,ThirdParty,63.3,19,TRUE,none,
INSP-0045-4,MA-RD-SEG-0045,2025-02-20,Municipality,62.6,28.2,TRUE,blocked,
INSP-0045-5,MA-RD-SEG-0045,2025-08-19,NHAI,52,4.9,FALSE,blocked,
INSP-0046-1,MA-RD-SEG-0046,2023-08-30,State PWD,63,9.2,TRUE,partial,
INSP-0046-2,MA-RD-SEG-0046,2024-02-26,State PWD,58.6,6.3,FALSE,blocked,
INSP-0046-3,MA-RD-SEG-0046,2024-08-24,Municipality,57.5,27.2,TRUE,partial,
INSP-0046-4,MA-RD-SEG-0046,2025-02-20,Municipality,41.8,13.6,FALSE,blocked,
INSP-0046-5,MA-RD-SEG-0046,2025-08-19,NHAI,37.4,37.3,FALSE,partial,
INSP-0047-1,MA-RD-SEG-0047,2023-08-30,ThirdParty,62,17.4,FALSE,none,
INSP-0047-2,MA-RD-SEG-0047,2024-02-26,State PWD,58.4,14.4,FALSE,good,
INSP-0047-3,MA-RD-SEG-0047,2024-08-24,ThirdParty,46.7,10.1,FALSE,partial,
INSP-0047-4,MA-RD-SEG-0047,2025-02-20,Municipality,53.8,15.8,FALSE,good,
INSP-0047-5,MA-RD-SEG-0047,2025-08-19,NHAI,46.2,27.9,TRUE,none,
INSP-0048-1,MA-RD-SEG-0048,2023-08-30,ThirdParty,81,15.5,TRUE,none,
INSP-0048-2,MA-RD-SEG-0048,2024-02-26,NHAI,76.6,24.8,FALSE,partial,
INSP-0048-3,MA-RD-SEG-0048,2024-08-24,ThirdParty,71.9,23.3,TRUE,good,
INSP-0048-4,MA-RD-SEG-0048,2025-02-20,NHAI,74.4,3,FALSE,none,
INSP-0048-5,MA-RD-SEG-0048,2025-08-19,NHAI,61.6,37.7,FALSE,good,
INSP-0049-1,MA-RD-SEG-0049,2023-08-30,Municipality,84,33.4,FALSE,good,
INSP-0049-2,MA-RD-SEG-0049,2024-02-26,Municipality,79.4,8.4,TRUE,blocked,
INSP-0049-3,MA-RD-SEG-0049,2024-08-24,ThirdParty,69.5,37.2,TRUE,good,
INSP-0049-4,MA-RD-SEG-0049,2025-02-20,NHAI,68.6,16.6,TRUE,none,
INSP-0049-5,MA-RD-SEG-0049,2025-08-19,Municipality,75.9,38.8,TRUE,good,
INSP-0050-1,MA-RD-SEG-0050,2023-08-30,ThirdParty,88,24.2,FALSE,partial,
INSP-0050-2,MA-RD-SEG-0050,2024-02-26,NHAI,85.2,13.4,FALSE,good,
INSP-0050-3,MA-RD-SEG-0050,2024-08-24,ThirdParty,78.2,18.6,TRUE,blocked,
INSP-0050-4,MA-RD-SEG-0050,2025-02-20,ThirdParty,68.1,21.3,TRUE,none,
INSP-0050-5,MA-RD-SEG-0050,2025-08-19,State PWD,77.7,15.4,FALSE,partial,
INSP-0051-1,MA-RD-SEG-0051,2023-08-30,Municipality,80,3.6,FALSE,none,
INSP-0051-2,MA-RD-SEG-0051,2024-02-26,Municipality,77,29.5,FALSE,none,
INSP-0051-3,MA-RD-SEG-0051,2024-08-24,Municipality,71,20.5,FALSE,partial,
INSP-0051-4,MA-RD-SEG-0051,2025-02-20,ThirdParty,57.9,31.1,FALSE,partial,
INSP-0051-5,MA-RD-SEG-0051,2025-08-19,State PWD,53.6,8,TRUE,partial,
INSP-0052-1,MA-RD-SEG-0052,2023-08-30,ThirdParty,67,32.2,FALSE,partial,
INSP-0052-2,MA-RD-SEG-0052,2024-02-26,State PWD,64.4,11.8,FALSE,blocked,
INSP-0052-3,MA-RD-SEG-0052,2024-08-24,Municipality,53.8,32.8,FALSE,good,
INSP-0052-4,MA-RD-SEG-0052,2025-02-20,ThirdParty,48.4,29,TRUE,good,
INSP-0052-5,MA-RD-SEG-0052,2025-08-19,NHAI,42.5,29.2,TRUE,partial,
INSP-0053-1,MA-RD-SEG-0053,2023-08-30,NHAI,68,16.3,FALSE,partial,
INSP-0053-2,MA-RD-SEG-0053,2024-02-26,Municipality,64.4,30.6,FALSE,none,
INSP-0053-3,MA-RD-SEG-0053,2024-08-24,Municipality,58.7,27.4,TRUE,blocked,
INSP-0053-4,MA-RD-SEG-0053,2025-02-20,Municipality,60.3,13.9,TRUE,partial,
INSP-0053-5,MA-RD-SEG-0053,2025-08-19,NHAI,59.3,12.4,FALSE,blocked,
INSP-0054-1,MA-RD-SEG-0054,2023-08-30,NHAI,60,11.3,TRUE,good,
INSP-0054-2,MA-RD-SEG-0054,2024-02-26,Municipality,55.6,9,FALSE,none,
INSP-0054-3,MA-RD-SEG-0054,2024-08-24,ThirdParty,45.6,10.6,FALSE,none,
INSP-0054-4,MA-RD-SEG-0054,2025-02-20,State PWD,48.4,12,FALSE,blocked,
INSP-0054-5,MA-RD-SEG-0054,2025-08-19,State PWD,31.1,38.4,TRUE,good,
INSP-0055-1,MA-RD-SEG-0055,2023-08-30,NHAI,62,33.7,TRUE,good,
INSP-0055-2,MA-RD-SEG-0055,2024-02-26,NHAI,54.3,21.2,FALSE,blocked,
INSP-0055-3,MA-RD-SEG-0055,2024-08-24,ThirdParty,52.7,16,TRUE,partial,
INSP-0055-4,MA-RD-SEG-0055,2025-02-20,ThirdParty,52.3,35.3,FALSE,partial,
