road_id,name,geojson_id,highway_ref,segment_number,segment_start_km,segment_end_km,length_km,district,taluka,PDI,Pseudo_CIBIL,ML_Predicted_CIBIL,Final_CIBIL,Condition_Category
MA-NH66-SEG-0419,NH66 Segment 419,way/1353112910,NH66,419,54.7,72.1,17.4,Dhule,Shirpur,8.84,91.16,90.6,90.99,Good
MA-NH548C-SEG-0016,NH548C Segment 16,way/201775655,NH548C,16,56.3,79.1,22.8,Pune,Haveli,9.09,90.91,91.04,90.95,Good
MA-NH347C-SEG-0025,NH347C Segment 25,way/312798299,NH347C,25,22.2,42.7,20.5,Satara,Man,9.0,91.0,90.75,90.92,Good
MA-NH465-SEG-0022,NH465 Segment 22,way/980186335,NH465,22,148.4,172.7,24.3,Dhule,Shirpur,9.07,90.93,90.85,90.91,Good
MA-NH150-SEG-0093,NH150 Segment 93,way/1167164506,NH150,93,193.2,215.6,22.4,Dhule,Dhule,9.14,90.86,90.99,90.9,Good
MA-NH166-SEG-0512,NH166 Segment 512,way/1257746942,NH166,512,38.1,52.3,14.2,Dhule,Shirpur,9.01,90.99,90.58,90.87,Good
MA-NH160-SEG-0367,NH160 Segment 367,way/1288651914,NH160,367,80.8,96.9,16.1,Solapur,Akkalkot,9.11,90.89,90.82,90.87,Good
MA-NH60-SEG-0408,NH60 Segment 408,way/668784198,NH60,408,113.3,134.8,21.5,Dhule,Sindkhede,9.09,90.91,90.78,90.87,Good
MA-NH161-SEG-0427,NH161 Segment 427,way/1353373134,NH161,427,61.0,80.4,19.4,Solapur,Karmala,9.12,90.88,90.8,90.86,Good
MA-NH752G-SEG-0117,NH752G Segment 117,way/845468476,NH752G,117,187.2,211.8,24.6,Dhule,Dhule,9.22,90.78,91.03,90.86,Good
MA-NH548D-SEG-0164,NH548D Segment 164,way/1363544049,NH548D,164,31.9,47.6,15.7,Satara,Karad,9.16,90.84,90.86,90.85,Good
MA-NH53-SEG-0396,NH53 Segment 396,way/867215396,NH53,396,109.5,126.1,16.6,Dhule,Sakri,9.12,90.88,90.75,90.84,Good
MA-NH753F-SEG-0158,NH753F Segment 158,way/220870075,NH753F,158,166.7,190.8,24.1,Solapur,Barshi,9.29,90.71,91.1,90.83,Good
MA-NH752G-SEG-0042,NH752G Segment 42,way/261931259,NH752G,42,191.6,200.5,8.9,Pune,Shirur,9.24,90.76,90.96,90.82,Good
MA-NH160-SEG-0281,NH160 Segment 281,way/1285506810,NH160,281,161.3,172.3,11.0,Solapur,Solapur North,9.34,90.66,91.19,90.82,Good
MA-NH60-SEG-0103,NH60 Segment 103,way/45127516,NH60,21,73.7,90.1,16.4,Solapur,Sangola,9.1,90.9,90.59,90.81,Good
MA-NH161A-SEG-0138,NH161A Segment 138,way/877748224,NH161A,138,123.9,142.5,18.6,Solapur,Karmala,9.19,90.81,90.8,90.81,Good
MA-NH48-SEG-1052,NH48 Segment 1052,way/1238593029,NH48,1052,119.7,138.0,18.3,Solapur,Malshiras,9.2,90.8,90.82,90.81,Good
MA-NH161-SEG-0459,NH161 Segment 459,way/1458266894,NH161,459,5.4,17.6,12.2,Solapur,Solapur North,9.25,90.75,90.91,90.8,Good
MA-NH50-SEG-0101,NH50 Segment 101,way/1357196042,NH50,101,107.7,130.3,22.6,Dhule,Sakri,9.23,90.77,90.8,90.78,Good
MA-NH44-SEG-0039,NH44 Segment 39,way/181926565,NH44,39,63.7,86.9,23.2,Satara,Man,9.12,90.88,90.56,90.78,Good
MA-NH48-SEG-0643,NH48 Segment 643,way/618748765,NH48,643,144.1,169.0,24.9,Dhule,Sakri,9.26,90.74,90.83,90.77,Good
MA-NH548C-SEG-0226,NH548C Segment 226,way/815499240,NH548C,226,102.0,114.5,12.5,Solapur,Sangola,9.23,90.77,90.66,90.74,Good
MA-NH752I-SEG-0039,NH752I Segment 39,way/300111734,NH752I,39,159.8,167.1,7.3,Solapur,Barshi,9.16,90.84,90.46,90.73,Good
MA-NH53-SEG-0166,NH53 Segment 166,way/303047707,NH53,166,72.6,79.9,7.3,Dhule,Sindkhede,9.26,90.74,90.66,90.72,Good
MA-NH548C-SEG-0073,NH548C Segment 73,way/296235352,NH548C,73,57.8,71.6,13.8,Dhule,Sindkhede,9.37,90.63,90.86,90.7,Good
MA-NH930-SEG-0090,NH930 Segment 90,way/978204656,NH930,90,117.6,125.3,7.7,Solapur,Mohol,9.15,90.85,90.34,90.7,Good
MA-NH753BB-SEG-0024,NH753BB Segment 24,way/301888972,NH753BB,24,106.8,128.8,22.0,Satara,Man,9.37,90.63,90.82,90.69,Good
MA-NH52-SEG-0071,NH52 Segment 71,way/304591976,NH52,71,92.5,98.6,6.1,Solapur,Sangola,9.34,90.66,90.75,90.69,Good
MA-NH48-SEG-0584,NH48 Segment 584,way/480850445,NH48,584,61.7,79.9,18.2,Nagpur,Kalmeshwar,9.33,90.67,90.7,90.68,Good
MA-NH160-SEG-0219,NH160 Segment 219,way/1285136779,NH160,219,110.6,123.0,12.4,Nashik,Deola,9.22,90.78,90.37,90.66,Good
MA-NH53-SEG-0942,NH53 Segment 942,way/1353112595,NH53,942,161.8,180.7,18.9,Nashik,Surgana,9.31,90.69,90.6,90.66,Good
MA-NH52-SEG-0374,NH52 Segment 374,way/978868480,NH52,374,109.0,117.0,8.0,Solapur,Karmala,9.2,90.8,90.3,90.65,Good
MA-NH52-SEG-0097,NH52 Segment 97,way/511121091,NH52,97,84.3,95.1,10.8,Dhule,Dhule,9.37,90.63,90.64,90.63,Good
MA-NH48-SEG-0849,NH48 Segment 849,way/861040887,NH48,849,57.5,80.3,22.8,Satara,Patan,9.35,90.65,90.57,90.63,Good
MA-NH66-SEG-0194,NH66 Segment 194,way/941384580,NH66,194,67.9,80.9,13.0,Nashik,Nashik,9.39,90.61,90.69,90.63,Good
MA-NH63-SEG-0118,NH63 Segment 118,way/866181544,NH63,118,198.8,207.5,8.7,Solapur,Pandharpur,9.33,90.67,90.5,90.62,Good
MA-NH548C-SEG-0253,NH548C Segment 253,way/864594301,NH548C,253,160.3,174.9,14.6,Nashik,Niphad,9.41,90.59,90.54,90.58,Good
MA-NH361-SEG-0423,NH361 Segment 423,way/1033404143,NH361,423,95.3,106.3,11.0,Nashik,Yeola,9.39,90.61,90.46,90.56,Good
MA-NH348A-SEG-0077,NH348A Segment 77,way/1148388980,NH348A,77,161.3,167.9,6.6,Solapur,Mohol,9.41,90.59,90.48,90.56,Good
MA-NH348-SEG-0029,NH348 Segment 29,way/807793124,NH348,29,1.8,16.8,15.0,Solapur,Pandharpur,9.36,90.64,90.34,90.55,Good
MA-NH561A-SEG-0113,NH561A Segment 113,way/1257428077,NH561A,113,121.3,128.5,7.2,Dhule,Sakri,9.58,90.42,90.79,90.53,Good
MA-NH160-SEG-0453,NH160 Segment 453,way/1475470929,NH160,453,10.2,30.0,19.8,Dhule,Sakri,9.41,90.59,90.4,90.53,Good
MA-NH753C-SEG-0033,NH753C Segment 33,way/297041966,NH753C,33,49.6,72.7,23.1,Solapur,Sangola,9.46,90.54,90.52,90.53,Good
MA-NH848-SEG-0139,NH848 Segment 139,way/1098378168,NH848,139,161.2,172.5,11.3,Dhule,Sakri,9.43,90.57,90.41,90.52,Good
MA-NH52-SEG-0686,NH52 Segment 686,way/1230120696,NH52,686,111.8,117.4,5.6,Satara,Satara,9.52,90.48,90.59,90.51,Good
MA-NH61-SEG-0015,NH61 Segment 15,way/102660980,NH61,15,158.4,176.2,17.8,Dhule,Sakri,9.44,90.56,90.38,90.51,Good
MA-NH60-SEG-0241,NH60 Segment 241,way/206994687,NH60,52,102.5,121.4,18.9,Dhule,Sakri,9.48,90.52,90.49,90.51,Good
MA-NH247-SEG-0005,NH247 Segment 5,way/183791821,NH247,5,192.6,207.7,15.1,Dhule,Dhule,9.45,90.55,90.43,90.51,Good
MA-NH548E-SEG-0001,NH548E Segment 1,way/253945278,NH548E,1,50.8,68.3,17.5,Solapur,Madha,9.55,90.45,90.63,90.5,Good
MA-NH561-SEG-0010,NH561 Segment 10,way/223423198,NH561,10,157.2,181.1,23.9,Raigad,Uran,9.42,90.58,90.3,90.5,Good
MA-NH361-SEG-0319,NH361 Segment 319,way/977476262,NH361,319,29.5,54.2,24.7,Dhule,Sindkhede,9.61,90.39,90.72,90.49,Good
MA-NH150-SEG-0013,NH150 Segment 13,way/563054294,NH150,13,157.5,169.1,11.6,Solapur,Karmala,9.45,90.55,90.34,90.49,Good
MA-NH161-SEG-0140,NH161 Segment 140,way/1293042369,NH161,140,15.5,34.7,19.2,Solapur,Karmala,9.43,90.57,90.19,90.46,Good
MA-NH53-SEG-1245,NH53 Segment 1245,way/1355152658,NH53,1245,63.1,71.1,8.0,Nagpur,Savner,9.54,90.46,90.41,90.44,Good
MA-NH160H-SEG-0135,NH160H Segment 135,way/892198188,NH160H,135,64.6,79.4,14.8,Solapur,Pandharpur,9.51,90.49,90.31,90.44,Good
MA-NH361-SEG-0606,NH361 Segment 606,way/1353342414,NH361,606,52.7,65.8,13.1,Dhule,Sakri,9.52,90.48,90.35,90.44,Good
MA-NH561A-SEG-0284,NH561A Segment 284,way/1353346213,NH561A,284,191.3,209.3,18.0,Solapur,Solapur South,9.61,90.39,90.5,90.42,Good
MA-NH848-SEG-0051,NH848 Segment 51,way/330544868,NH848,51,120.9,129.4,8.5,Satara,Patan,9.41,90.59,89.99,90.41,Good
MA-NH965-SEG-0119,NH965 Segment 119,way/885845312,NH965,119,87.0,103.7,16.7,Solapur,Akkalkot,9.52,90.48,90.24,90.41,Good
MA-NH48-SEG-0639,NH48 Segment 639,way/618748750,NH48,639,131.4,149.4,18.0,Solapur,Barshi,9.59,90.41,90.34,90.39,Good
MA-NH48-SEG-0191,NH48 Segment 191,way/157668315,NH48,191,77.1,87.4,10.3,Nagpur,Umred,9.54,90.46,90.24,90.39,Good
MA-NH753A-SEG-0091,NH753A Segment 91,way/730028465,NH753A,91,52.2,64.3,12.1,Dhule,Shirpur,9.59,90.41,90.31,90.38,Good
MA-NH52-SEG-0194,NH52 Segment 194,way/884739476,NH52,194,156.1,178.4,22.3,Dhule,Shirpur,9.66,90.34,90.43,90.37,Good
MA-NH 61-SEG-0020,NH 61 Segment 20,way/1153941920,NH 61,20,154.9,174.0,19.1,Solapur,Solapur South,9.64,90.36,90.4,90.37,Good
MA-NH965G-SEG-0089,NH965G Segment 89,way/663611517,NH965G,89,51.8,64.1,12.3,Nagpur,Umred,9.64,90.36,90.36,90.36,Good
MA-NH52-SEG-0175,NH52 Segment 175,way/882615300,NH52,175,101.5,122.7,21.2,Dhule,Shirpur,9.77,90.23,90.65,90.36,Good
MA-NH930-SEG-0022,NH930 Segment 22,way/262911785,NH930,22,7.1,23.3,16.2,Nagpur,Butibori,9.42,90.58,89.85,90.36,Good
MA-NH48-SEG-1320,NH48 Segment 1320,way/1430529417,NH48,1320,181.5,203.2,21.7,Nagpur,Kalmeshwar,9.68,90.32,90.42,90.35,Good
MA-NH166-SEG-0056,NH166 Segment 56,way/298347618,NH166,56,89.9,107.2,17.3,Dhule,Shirpur,9.64,90.36,90.22,90.32,Good
MA-NH66-SEG-0631,NH66 Segment 631,way/1474281034,NH66,631,127.7,135.7,8.0,Satara,Satara,9.57,90.43,90.07,90.32,Good
MA-NH561A-SEG-0204,NH561A Segment 204,way/1353306861,NH561A,204,124.6,130.6,6.0,Dhule,Dhule,9.69,90.31,90.23,90.29,Good
MA-NH353B-SEG-0010,NH353B Segment 10,way/295487560,NH353B,10,104.8,109.9,5.1,Dhule,Sindkhede,9.69,90.31,90.21,90.28,Good
MA-NH752G-SEG-0142,NH752G Segment 142,way/1291989205,NH752G,142,24.1,29.9,5.8,Solapur,Mohol,9.7,90.3,90.2,90.27,Good
MA-NH150-SEG-0066,NH150 Segment 66,way/1156116481,NH150,66,26.2,34.6,8.4,Solapur,Sangola,9.71,90.29,90.18,90.26,Good
MA-NH965G-SEG-0119,NH965G Segment 119,way/1340530046,NH965G,119,125.2,144.1,18.9,Nashik,Sinnar,9.74,90.26,90.18,90.24,Good
MA-NH60-SEG-0724,NH60 Segment 724,way/1285114901,NH60,724,28.1,46.8,18.7,Dhule,Sindkhede,9.75,90.25,90.21,90.24,Good
MA-NH52-SEG-0392,NH52 Segment 392,way/1000709038,NH52,392,194.6,201.4,6.8,Dhule,Sakri,9.8,90.2,90.31,90.23,Good
MA-NH160H-SEG-0037,NH160H Segment 37,way/303005905,NH160H,37,63.2,76.7,13.5,Nagpur,Kamptee,9.8,90.2,90.26,90.22,Good
MA-NH48-SEG-0110,NH48 Segment 110,way/83270791,NH48,110,161.6,173.4,11.8,Nagpur,Butibori,9.79,90.21,90.21,90.21,Good
MA-NH60-SEG-0640,NH60 Segment 640,way/1193393686,NH60,640,49.2,62.0,12.8,Dhule,Sindkhede,9.88,90.12,90.34,90.19,Good
MA-NH848-SEG-0056,NH848 Segment 56,way/421707812,NH848,56,37.9,48.9,11.0,Nagpur,Savner,9.68,90.32,89.81,90.17,Good
MA-NH930-SEG-0158,NH930 Segment 158,way/1357153347,NH930,158,124.5,136.5,12.0,Dhule,Sindkhede,9.87,90.13,90.2,90.15,Good
MA-NH361-SEG-0420,NH361 Segment 420,way/1023311748,NH361,420,195.5,209.6,14.1,Nagpur,Butibori,9.87,90.13,90.18,90.14,Good
MA-NH52-SEG-0438,NH52 Segment 438,way/1115052076,NH52,438,48.4,64.0,15.6,Dhule,Dhule,9.84,90.16,90.04,90.12,Good
MA-NH548DD-SEG-0049,NH548DD Segment 49,way/888608972,NH548DD,49,23.8,34.1,10.3,Dhule,Dhule,9.9,90.1,90.15,90.12,Good
MA-NH166-SEG-0309,NH166 Segment 309,way/1255999377,NH166,309,30.0,52.2,22.2,Solapur,Karmala,9.9,90.1,90.16,90.12,Good
MA-NH347A-SEG-0130,NH347A Segment 130,way/862478575,NH347A,130,52.9,73.9,21.0,Solapur,Solapur South,9.97,90.03,90.34,90.12,Good
MA-NH753BE-SEG-0146,NH753BE Segment 146,way/313056642,NH753BE,146,98.5,104.9,6.4,Solapur,Sangola,9.88,90.12,90.09,90.11,Good
MA-NH160H-SEG-0053,NH160H Segment 53,way/303005932,NH160H,53,26.7,37.5,10.8,Dhule,Sakri,9.97,90.03,90.31,90.11,Good
MA-NH753BE-SEG-0032,NH753BE Segment 32,way/299532158,NH753BE,32,94.0,114.6,20.6,Solapur,Barshi,9.98,90.02,90.29,90.1,Good
MA-NH752E-SEG-0054,NH752E Segment 54,way/1295716922,NH752E,54,61.4,75.7,14.3,Dhule,Shirpur,9.92,90.08,90.06,90.07,Good
MA-NH752I-SEG-0027,NH752I Segment 27,way/267213580,NH752I,27,94.3,113.2,18.9,Pune,Haveli,9.92,90.08,90.02,90.06,Good
MA-NH53-SEG-0512,NH53 Segment 512,way/882225087,NH53,512,185.4,195.5,10.1,Nagpur,Nagpur,9.93,90.07,90.05,90.06,Good
MA-NH753M-SEG-0007,NH753M Segment 7,way/309035071,NH753M,7,151.3,168.5,17.2,Nashik,Baglan,9.84,90.16,89.79,90.05,Good
MA-NH52-SEG-0370,NH52 Segment 370,way/978857898,NH52,370,136.2,157.9,21.7,Dhule,Dhule,9.84,90.16,89.8,90.05,Good
MA-NH930-SEG-0030,NH930 Segment 30,way/264453361,NH930,30,39.1,58.7,19.6,Solapur,Barshi,9.8,90.2,89.7,90.05,Good
