road_id,name,nh_number,segment_start_km,segment_end_km,jurisdiction,category,length_km,lane_count,surface_type,year_constructed,last_major_rehab_year,status,geometry,notes,state,district,taluka,region_type,terrain_type,slope_category,monsoon_rainfall_category,landslide_prone,flood_prone,ghat_section_flag,tourism_route_flag,elevation_m,avg_daily_traffic,truck_percentage,peak_hour_traffic,traffic_weight,seasonal_variation
MA-NH65-SEG-0011,NH65 Segment 11,NH65,142.5,150.5,PMGSY,State,8,2,bitumen,2012,,under_construction,LINESTRING(...),,Maharashtra,Sindhudurg,Kankavli,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,TRUE,428.3,8265,33.3,708,1,"{""M1"":0.88,""M2"":0.93,""M3"":0.9,""M4"":0.92,""M5"":1.17,""M6"":1.05,""M7"":0.84,""M8"":0.86,""M9"":1.17,""M10"":0.98,""M11"":1.09,""M12"":0.89}"
MA-SH50-SEG-0012,SH50 Segment 12,SH50,72.8,88.8,NHAI,Inter-State,16,2,bitumen,2019,2021,active,LINESTRING(...),,Maharashtra,Dhule,Shirpur,plateau,plain,flat,low,FALSE,FALSE,FALSE,TRUE,331,2860,16.7,229,0.5,"{""M1"":1.15,""M2"":0.93,""M3"":0.8,""M4"":1.14,""M5"":0.9,""M6"":0.84,""M7"":1.02,""M8"":0.93,""M9"":0.87,""M10"":1.15,""M11"":0.89,""M12"":0.91}"
MA-NH48-SEG-0013,NH48 Segment 13,NH48,59.7,72.8,NHAI,Urban,13.1,4,concrete,2015,,under_construction,LINESTRING(...),,Maharashtra,Nagpur,Hingna,plain,plain,flat,medium,FALSE,FALSE,FALSE,FALSE,60.8,3176,26,304,0.5,"{""M1"":0.94,""M2"":0.81,""M3"":0.99,""M4"":0.89,""M5"":1.15,""M6"":0.86,""M7"":0.96,""M8"":0.99,""M9"":0.81,""M10"":1.05,""M11"":0.87,""M12"":0.9}"
MA-NH160-SEG-0014,NH160 Segment 14,NH160,159.3,170.4,State PWD,Urban,11.1,6,earthen,2014,2018,active,LINESTRING(...),,Maharashtra,Raigad,Mahad,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,TRUE,106.2,8071,37.9,597,1,"{""M1"":1.11,""M2"":0.88,""M3"":0.88,""M4"":1.02,""M5"":0.92,""M6"":1.08,""M7"":1.19,""M8"":0.86,""M9"":0.84,""M10"":0.89,""M11"":1.12,""M12"":1.17}"
MA-NH60-SEG-0015,NH60 Segment 15,NH60,133.4,157.1,Municipality,National,23.7,2,concrete,2010,,active,LINESTRING(...),,Maharashtra,Pune,Mulshi,urban_corridor,plain,moderate,medium,FALSE,FALSE,FALSE,FALSE,189.4,23255,39.4,2460,2,"{""M1"":1.1,""M2"":1.16,""M3"":0.97,""M4"":0.95,""M5"":0.98,""M6"":0.82,""M7"":0.9,""M8"":1.15,""M9"":0.91,""M10"":1.11,""M11"":0.99,""M12"":1.2}"
MA-SH60-SEG-0016,SH60 Segment 16,SH60,162.3,168,Municipality,Inter-State,5.7,6,gravel,2004,,active,LINESTRING(...),,Maharashtra,Satara,Mahabaleshwar,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,1021.7,7573,37.6,511,1,"{""M1"":1.13,""M2"":1.09,""M3"":0.94,""M4"":1.09,""M5"":1.0,""M6"":1.06,""M7"":0.97,""M8"":1.03,""M9"":1.14,""M10"":1.17,""M11"":0.84,""M12"":0.92}"
MA-NH65-SEG-0017,NH65 Segment 17,NH65,140.9,146.9,State PWD,Urban,6,6,gravel,2006,2023,active,LINESTRING(...),,Maharashtra,Sindhudurg,Kankavli,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,TRUE,94.5,7048,35,553,1,"{""M1"":1.19,""M2"":1.01,""M3"":0.85,""M4"":0.94,""M5"":1.11,""M6"":1.09,""M7"":0.99,""M8"":1.08,""M9"":1.04,""M10"":0.91,""M11"":1.11,""M12"":0.89}"
MA-NH160-SEG-0018,NH160 Segment 18,NH160,24.2,45.2,Municipality,State,21,2,earthen,2019,2020,under_construction,LINESTRING(...),,Maharashtra,Sindhudurg,Malvan,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,FALSE,558.3,5198,14.7,482,1,"{""M1"":1.13,""M2"":1.01,""M3"":0.93,""M4"":0.84,""M5"":1.07,""M6"":0.86,""M7"":1.04,""M8"":1.05,""M9"":0.84,""M10"":0.95,""M11"":0.83,""M12"":0.92}"
MA-NH48-SEG-0019,NH48 Segment 19,NH48,137.3,150.3,NHAI,National,13,6,concrete,2016,2009,active,LINESTRING(...),,Maharashtra,Kolhapur,Karveer,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,873.8,5051,17.4,461,1,"{""M1"":1.04,""M2"":0.96,""M3"":0.92,""M4"":1.1,""M5"":1.12,""M6"":1.14,""M7"":1.16,""M8"":0.87,""M9"":1.14,""M10"":0.84,""M11"":1.05,""M12"":0.81}"
MA-NH60-SEG-0020,NH60 Segment 20,NH60,181.1,187.2,Municipality,Inter-State,6.1,6,bitumen,2016,,active,LINESTRING(...),,Maharashtra,Dhule,Shirpur,plateau,plain,flat,low,FALSE,FALSE,FALSE,FALSE,452.9,7395,34.7,741,1,"{""M1"":1.18,""M2"":1.12,""M3"":0.92,""M4"":0.83,""M5"":1.07,""M6"":0.99,""M7"":1.15,""M8"":0.84,""M9"":1.03,""M10"":0.86,""M11"":0.81,""M12"":0.93}"
MA-SH50-SEG-0021,SH50 Segment 21,SH50,79.7,93.6,State PWD,National,13.9,4,earthen,2020,2018,under_construction,LINESTRING(...),,Maharashtra,Nagpur,Umred,plain,plain,flat,medium,FALSE,FALSE,FALSE,FALSE,229.8,2411,24.1,266,0.5,"{""M1"":0.84,""M2"":0.89,""M3"":1.08,""M4"":1.2,""M5"":0.84,""M6"":0.93,""M7"":1.09,""M8"":0.82,""M9"":1.1,""M10"":0.87,""M11"":0.83,""M12"":1.06}"
MA-NH65-SEG-0022,NH65 Segment 22,NH65,3.9,22.5,Municipality,National,18.6,4,concrete,2003,2011,active,LINESTRING(...),,Maharashtra,Kolhapur,Panhala,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,682.5,10131,43.8,1181,1.5,"{""M1"":0.92,""M2"":0.83,""M3"":1.1,""M4"":0.98,""M5"":1.19,""M6"":1.15,""M7"":1.0,""M8"":0.91,""M9"":0.89,""M10"":1.05,""M11"":1.13,""M12"":0.92}"
MA-NH48-SEG-0023,NH48 Segment 23,NH48,153.8,165.8,Municipality,Inter-State,12,6,earthen,2021,,under_construction,LINESTRING(...),,Maharashtra,Dhule,Shirpur,plateau,plain,flat,low,FALSE,FALSE,FALSE,FALSE,327.3,6967,17.3,436,1,"{""M1"":0.82,""M2"":0.8,""M3"":1.12,""M4"":0.95,""M5"":1.13,""M6"":0.88,""M7"":0.93,""M8"":1.1,""M9"":0.86,""M10"":1.07,""M11"":0.94,""M12"":1.08}"
MA-SH50-SEG-0024,SH50 Segment 24,SH50,153,162.5,PMGSY,Urban,9.5,6,concrete,2010,2017,active,LINESTRING(...),,Maharashtra,Nashik,Sinnar,ghat,steep,steep,medium,TRUE,FALSE,TRUE,TRUE,743,6409,19.2,399,1,"{""M1"":0.94,""M2"":0.82,""M3"":0.88,""M4"":1.02,""M5"":1.11,""M6"":1.18,""M7"":1.13,""M8"":0.87,""M9"":1.15,""M10"":0.81,""M11"":0.89,""M12"":1.05}"
MA-NH160-SEG-0025,NH160 Segment 25,NH160,105,119.6,Municipality,National,14.6,4,earthen,2006,,active,LINESTRING(...),,Maharashtra,Nashik,Trimbak,ghat,steep,steep,medium,TRUE,FALSE,TRUE,FALSE,1060,7187,16.3,771,1,"{""M1"":0.97,""M2"":1.13,""M3"":1.15,""M4"":0.85,""M5"":1.12,""M6"":0.92,""M7"":0.84,""M8"":1.2,""M9"":1.17,""M10"":1.01,""M11"":1.11,""M12"":0.81}"
MA-SH60-SEG-0026,SH60 Segment 26,SH60,175.7,181.1,Municipality,National,5.4,2,earthen,2000,,under_construction,LINESTRING(...),,Maharashtra,Kolhapur,Radhanagari,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,985.2,4633,13.1,326,0.5,"{""M1"":0.85,""M2"":0.85,""M3"":1.05,""M4"":0.82,""M5"":0.94,""M6"":0.84,""M7"":1.11,""M8"":1.03,""M9"":0.99,""M10"":0.8,""M11"":1.19,""M12"":0.91}"
MA-NH48-SEG-0027,NH48 Segment 27,NH48,117.5,133.1,Municipality,National,15.6,6,gravel,2000,2016,active,LINESTRING(...),,Maharashtra,Pune,Mulshi,urban_corridor,plain,moderate,medium,FALSE,FALSE,FALSE,TRUE,434.4,16356,17.7,1401,1.5,"{""M1"":0.83,""M2"":1.09,""M3"":1.05,""M4"":0.81,""M5"":0.99,""M6"":0.87,""M7"":1.15,""M8"":1.13,""M9"":0.81,""M10"":1.02,""M11"":0.95,""M12"":1.02}"
MA-SH60-SEG-0028,SH60 Segment 28,SH60,57.3,73.8,PMGSY,Inter-State,16.5,2,earthen,1999,,under_construction,LINESTRING(...),,Maharashtra,Nashik,Trimbak,ghat,steep,steep,medium,TRUE,FALSE,TRUE,TRUE,1047.7,9106,39.4,980,1,"{""M1"":0.83,""M2"":0.81,""M3"":1.05,""M4"":1.13,""M5"":1.01,""M6"":1.04,""M7"":0.89,""M8"":1.09,""M9"":1.16,""M10"":0.85,""M11"":0.85,""M12"":1.06}"
MA-NH160-SEG-0029,NH160 Segment 29,NH160,96.9,117.9,State PWD,State,21,2,gravel,2010,2018,under_construction,LINESTRING(...),,Maharashtra,Dhule,Dhule,plateau,plain,flat,low,FALSE,FALSE,FALSE,FALSE,81,5860,42.7,638,1,"{""M1"":1.13,""M2"":1.07,""M3"":0.89,""M4"":0.92,""M5"":0.93,""M6"":0.83,""M7"":0.86,""M8"":1.01,""M9"":0.8,""M10"":0.81,""M11"":0.96,""M12"":1.0}"
MA-NH160-SEG-0030,NH160 Segment 30,NH160,35.2,58.1,State PWD,State,22.9,6,bitumen,2022,2015,active,LINESTRING(...),,Maharashtra,Dhule,Sakri,plateau,plain,flat,low,FALSE,FALSE,FALSE,FALSE,74.5,6127,15.2,410,1,"{""M1"":0.98,""M2"":0.85,""M3"":0.81,""M4"":0.81,""M5"":1.06,""M6"":0.97,""M7"":1.1,""M8"":1.11,""M9"":1.04,""M10"":0.92,""M11"":0.98,""M12"":0.95}"
MA-NH48-SEG-0031,NH48 Segment 31,NH48,98.9,107,NHAI,Urban,8.1,4,bitumen,2005,2018,active,LINESTRING(...),,Maharashtra,Pune,Bhor,urban_corridor,plain,moderate,medium,FALSE,FALSE,FALSE,TRUE,535,19250,30.1,1219,1.5,"{""M1"":0.94,""M2"":1.15,""M3"":1.01,""M4"":1.03,""M5"":0.84,""M6"":1.15,""M7"":1.08,""M8"":1.04,""M9"":0.85,""M10"":0.99,""M11"":1.09,""M12"":1.02}"
MA-NH160-SEG-0032,NH160 Segment 32,NH160,91.4,105.6,PMGSY,Urban,14.2,2,earthen,2006,,active,LINESTRING(...),,Maharashtra,Nagpur,Umred,plain,plain,flat,medium,FALSE,FALSE,FALSE,FALSE,268,3199,39.6,239,0.5,"{""M1"":1.16,""M2"":1.04,""M3"":1.17,""M4"":0.97,""M5"":0.94,""M6"":1.03,""M7"":0.99,""M8"":0.84,""M9"":0.81,""M10"":1.12,""M11"":0.8,""M12"":1.02}"
MA-NH60-SEG-0033,NH60 Segment 33,NH60,132.8,151.8,State PWD,National,19,2,gravel,2018,,active,LINESTRING(...),,Maharashtra,Solapur,Mangalwedha,plateau,plain,flat,low,FALSE,FALSE,FALSE,TRUE,209.3,4409,37.4,512,0.5,"{""M1"":1.03,""M2"":1.17,""M3"":0.88,""M4"":1.17,""M5"":0.87,""M6"":0.99,""M7"":0.92,""M8"":0.84,""M9"":0.95,""M10"":1.01,""M11"":0.83,""M12"":0.85}"
MA-SH50-SEG-0034,SH50 Segment 34,SH50,131.3,139,State PWD,Urban,7.7,6,bitumen,2014,,active,LINESTRING(...),,Maharashtra,Sindhudurg,Sawantwadi,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,FALSE,64.8,6393,22.6,545,1,"{""M1"":1.08,""M2"":1.11,""M3"":0.97,""M4"":1.15,""M5"":1.16,""M6"":1.04,""M7"":0.97,""M8"":0.83,""M9"":0.95,""M10"":0.98,""M11"":0.81,""M12"":0.82}"
MA-SH60-SEG-0035,SH60 Segment 35,SH60,69.1,81.7,NHAI,State,12.6,6,bitumen,2007,,active,LINESTRING(...),,Maharashtra,Dhule,Sakri,plateau,plain,flat,low,FALSE,FALSE,FALSE,TRUE,70.2,7746,30.9,762,1,"{""M1"":1.01,""M2"":0.84,""M3"":0.91,""M4"":1.0,""M5"":0.85,""M6"":0.83,""M7"":1.1,""M8"":1.05,""M9"":1.11,""M10"":1.12,""M11"":0.94,""M12"":0.85}"
MA-NH48-SEG-0036,NH48 Segment 36,NH48,44.4,58.5,PMGSY,State,14.1,2,concrete,2002,,active,LINESTRING(...),,Maharashtra,Solapur,Barshi,plateau,plain,flat,low,FALSE,FALSE,FALSE,FALSE,596.6,2316,24.2,205,0.5,"{""M1"":1.0,""M2"":1.05,""M3"":1.18,""M4"":1.02,""M5"":1.14,""M6"":1.08,""M7"":1.14,""M8"":0.82,""M9"":0.86,""M10"":1.12,""M11"":1.01,""M12"":1.03}"
MA-SH60-SEG-0037,SH60 Segment 37,SH60,199.7,221.3,NHAI,Inter-State,21.6,2,gravel,2014,2023,under_construction,LINESTRING(...),,Maharashtra,Dhule,Shirpur,plateau,plain,flat,low,FALSE,FALSE,FALSE,FALSE,55.7,6590,15.7,558,1,"{""M1"":0.8,""M2"":1.1,""M3"":1.17,""M4"":1.0,""M5"":0.98,""M6"":0.9,""M7"":0.92,""M8"":1.16,""M9"":0.99,""M10"":0.9,""M11"":1.17,""M12"":1.16}"
MA-NH60-SEG-0038,NH60 Segment 38,NH60,153,161.4,Municipality,Inter-State,8.4,4,concrete,1999,2020,active,LINESTRING(...),,Maharashtra,Satara,Karad,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,1155.9,8090,17.1,537,1,"{""M1"":1.06,""M2"":0.9,""M3"":1.08,""M4"":1.0,""M5"":0.94,""M6"":1.17,""M7"":1.04,""M8"":0.93,""M9"":0.95,""M10"":1.0,""M11"":1.14,""M12"":0.95}"
MA-SH50-SEG-0039,SH50 Segment 39,SH50,183.2,188.4,NHAI,State,5.2,2,concrete,2002,,under_construction,LINESTRING(...),,Maharashtra,Kolhapur,Radhanagari,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,731.4,6454,33.1,515,1,"{""M1"":1.02,""M2"":1.08,""M3"":1.01,""M4"":1.16,""M5"":1.11,""M6"":1.08,""M7"":0.86,""M8"":0.88,""M9"":1.05,""M10"":1.07,""M11"":1.0,""M12"":1.07}"
MA-SH60-SEG-0040,SH60 Segment 40,SH60,144.7,169.1,State PWD,Urban,24.4,4,concrete,2001,2009,under_construction,LINESTRING(...),,Maharashtra,Kolhapur,Radhanagari,ghat,steep,steep,high,TRUE,FALSE,TRUE,TRUE,1008.7,4413,29,470,0.5,"{""M1"":0.95,""M2"":1.05,""M3"":1.08,""M4"":0.82,""M5"":0.81,""M6"":0.84,""M7"":1.12,""M8"":0.84,""M9"":1.19,""M10"":0.85,""M11"":1.2,""M12"":1.12}"
MA-SH60-SEG-0041,SH60 Segment 41,SH60,96.1,112.4,State PWD,State,16.3,2,bitumen,2001,,under_construction,LINESTRING(...),,Maharashtra,Dhule,Shirpur,plateau,plain,flat,low,FALSE,FALSE,FALSE,TRUE,154.3,6177,24,676,1,"{""M1"":1.15,""M2"":1.16,""M3"":0.87,""M4"":1.18,""M5"":1.1,""M6"":0.92,""M7"":1.0,""M8"":0.98,""M9"":0.95,""M10"":0.91,""M11"":1.14,""M12"":1.01}"
MA-NH60-SEG-0042,NH60 Segment 42,NH60,78.6,92.7,Municipality,State,14.1,6,concrete,2019,,under_construction,LINESTRING(...),,Maharashtra,Nashik,Igatpuri,ghat,steep,steep,medium,TRUE,FALSE,TRUE,TRUE,715.3,4574,10.9,516,0.5,"{""M1"":0.82,""M2"":0.97,""M3"":0.91,""M4"":1.17,""M5"":1.03,""M6"":1.07,""M7"":0.84,""M8"":1.03,""M9"":1.16,""M10"":1.06,""M11"":1.01,""M12"":0.99}"
MA-SH50-SEG-0043,SH50 Segment 43,SH50,95.9,112.5,PMGSY,Inter-State,16.6,2,bitumen,2000,,under_construction,LINESTRING(...),,Maharashtra,Raigad,Alibag,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,FALSE,597.5,13702,23,1326,1.5,"{""M1"":1.19,""M2"":1.17,""M3"":1.07,""M4"":0.9,""M5"":0.97,""M6"":0.87,""M7"":0.95,""M8"":1.15,""M9"":1.18,""M10"":1.14,""M11"":0.81,""M12"":1.1}"
MA-SH50-SEG-0044,SH50 Segment 44,SH50,176.4,186.4,Municipality,Urban,10,2,earthen,2022,,active,LINESTRING(...),,Maharashtra,Kolhapur,Karveer,ghat,steep,steep,high,TRUE,FALSE,TRUE,FALSE,985.3,6157,37.3,609,1,"{""M1"":0.83,""M2"":0.85,""M3"":0.86,""M4"":1.03,""M5"":1.13,""M6"":0.95,""M7"":0.96,""M8"":1.04,""M9"":1.09,""M10"":1.17,""M11"":1.14,""M12"":0.83}"
MA-SH60-SEG-0045,SH60 Segment 45,SH60,101.5,113.9,PMGSY,State,12.4,2,concrete,2013,,active,LINESTRING(...),,Maharashtra,Dhule,Sakri,plateau,plain,flat,low,FALSE,FALSE,FALSE,TRUE,331.4,6677,29.5,635,1,"{""M1"":0.93,""M2"":0.86,""M3"":0.97,""M4"":0.94,""M5"":0.83,""M6"":0.87,""M7"":1.12,""M8"":0.85,""M9"":0.88,""M10"":1.19,""M11"":1.13,""M12"":0.85}"
MA-NH160-SEG-0046,NH160 Segment 46,NH160,93.6,118.6,State PWD,State,25,6,concrete,2002,,under_construction,LINESTRING(...),,Maharashtra,Sindhudurg,Sawantwadi,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,FALSE,185.3,6033,44.8,538,1,"{""M1"":1.18,""M2"":1.0,""M3"":1.07,""M4"":0.94,""M5"":1.07,""M6"":1.08,""M7"":1.19,""M8"":1.02,""M9"":1.06,""M10"":1.14,""M11"":1.11,""M12"":0.82}"
MA-NH60-SEG-0047,NH60 Segment 47,NH60,120.7,131.5,NHAI,Urban,10.8,6,concrete,2007,2023,active,LINESTRING(...),,Maharashtra,Nashik,Sinnar,ghat,steep,steep,medium,TRUE,FALSE,TRUE,TRUE,1004.5,9172,25.6,905,1,"{""M1"":1.08,""M2"":0.82,""M3"":0.93,""M4"":0.92,""M5"":0.93,""M6"":1.14,""M7"":0.93,""M8"":1.01,""M9"":0.81,""M10"":0.91,""M11"":1.07,""M12"":0.85}"
MA-NH160-SEG-0048,NH160 Segment 48,NH160,118.2,139.5,PMGSY,Urban,21.3,4,earthen,2006,2014,under_construction,LINESTRING(...),,Maharashtra,Solapur,Barshi,plateau,plain,flat,low,FALSE,FALSE,FALSE,TRUE,298.7,5269,39,539,1,"{""M1"":1.14,""M2"":0.81,""M3"":1.14,""M4"":0.91,""M5"":1.0,""M6"":0.82,""M7"":1.03,""M8"":0.97,""M9"":1.02,""M10"":1.04,""M11"":1.06,""M12"":1.03}"
MA-NH65-SEG-0049,NH65 Segment 49,NH65,131.3,147.6,NHAI,Urban,16.3,6,earthen,2000,,active,LINESTRING(...),,Maharashtra,Kolhapur,Karveer,ghat,steep,steep,high,TRUE,FALSE,TRUE,FALSE,872.6,7790,23.5,728,1,"{""M1"":0.94,""M2"":1.06,""M3"":0.95,""M4"":0.9,""M5"":0.83,""M6"":1.09,""M7"":0.93,""M8"":0.91,""M9"":0.87,""M10"":1.05,""M11"":1.12,""M12"":1.13}"
MA-NH48-SEG-0050,NH48 Segment 50,NH48,26.4,45.7,PMGSY,National,19.3,4,bitumen,2009,,under_construction,LINESTRING(...),,Maharashtra,Dhule,Sakri,plateau,plain,flat,low,FALSE,FALSE,FALSE,FALSE,142.7,4521,18.7,341,0.5,"{""M1"":0.8,""M2"":1.0,""M3"":1.04,""M4"":0.83,""M5"":1.04,""M6"":1.17,""M7"":0.85,""M8"":0.97,""M9"":1.19,""M10"":1.16,""M11"":0.82,""M12"":1.05}"
MA-SH50-SEG-0051,SH50 Segment 51,SH50,193.7,213.2,Municipality,Inter-State,19.5,2,bitumen,1999,,under_construction,LINESTRING(...),,Maharashtra,Nagpur,Hingna,plain,plain,flat,medium,FALSE,FALSE,FALSE,TRUE,291.1,5328,41.6,386,1,"{""M1"":1.03,""M2"":0.85,""M3"":0.86,""M4"":1.02,""M5"":0.84,""M6"":1.06,""M7"":0.95,""M8"":0.82,""M9"":1.18,""M10"":0.84,""M11"":1.11,""M12"":0.81}"
MA-NH65-SEG-0052,NH65 Segment 52,NH65,40.8,56.4,Municipality,Urban,15.6,2,earthen,2004,2017,active,LINESTRING(...),,Maharashtra,Nashik,Igatpuri,ghat,steep,steep,medium,TRUE,FALSE,TRUE,FALSE,908.6,6090,22.4,450,1,"{""M1"":0.91,""M2"":1.12,""M3"":0.99,""M4"":0.83,""M5"":1.02,""M6"":0.94,""M7"":0.89,""M8"":1.18,""M9"":0.88,""M10"":0.8,""M11"":1.0,""M12"":0.83}"
MA-SH50-SEG-0053,SH50 Segment 53,SH50,6.1,15.1,PMGSY,Inter-State,9,6,bitumen,2021,,under_construction,LINESTRING(...),,Maharashtra,Dhule,Sakri,plateau,plain,flat,low,FALSE,FALSE,FALSE,TRUE,395.9,4673,16.5,506,0.5,"{""M1"":0.94,""M2"":1.19,""M3"":1.18,""M4"":1.04,""M5"":0.85,""M6"":0.86,""M7"":0.82,""M8"":0.96,""M9"":0.92,""M10"":1.12,""M11"":0.93,""M12"":0.89}"
MA-NH60-SEG-0054,NH60 Segment 54,NH60,48.1,56.2,Municipality,Urban,8.1,4,earthen,1999,,under_construction,LINESTRING(...),,Maharashtra,Sindhudurg,Sawantwadi,coastal,hilly,moderate,high,FALSE,TRUE,FALSE,TRUE,205.4,10762,19.2,804,1.5,"{""M1"":1.05,""M2"":1.04,""M3"":0.85,""M4"":1.07,""M5"":1.18,""M6"":1.08,""M7"":0.8,""M8"":1.07,""M9"":0.97,""M10"":1.07,""M11"":0.93,""M12"":0.98}"
