road_id,last_lidar_survey_date,lidar_source,point_density_pts_per_m2,lidar_quality_score,pothole_count,pothole_total_volume_m3,avg_pothole_depth_mm,max_pothole_depth_mm,pothole_areas_m2,avg_rut_depth_mm,max_rut_depth_mm,roughness_proxy,damaged_area_percent,scan_id,las_filename,potree_url
MA-NH65-SEG-0011,2025-06-12,mobile,264.8,69,4,0.3619,143.5,219,"[0.447, 0.686, 0.884, 0.284]",9.3,10.3,3.42,0.0029,29de4ede-d1ab-4774-9937-02799f0a7715,29de4ede-d1ab-4774-9937-02799f0a7715.laz,https://potree.example.com/viewer/29de4ede-d1ab-4774-9937-02799f0a7715
MA-SH50-SEG-0012,2025-02-28,mobile,130.9,40,3,0.1651,162,211,"[0.091, 0.139, 1.059]",3.4,5.9,2.45,0.0008,baff9928-0373-4594-a59f-65e8a46186bc,baff9928-0373-4594-a59f-65e8a46186bc.laz,https://potree.example.com/viewer/baff9928-0373-4594-a59f-65e8a46186bc
MA-NH48-SEG-0013,2025-04-17,mobile,153.7,40,5,0.4759,128.6,219,"[0.143, 1.046, 0.835, 0.754, 1.095]",3.4,5,1.57,0.003,137eef19-1d55-4762-adea-7ea0d8345d32,137eef19-1d55-4762-adea-7ea0d8345d32.laz,https://potree.example.com/viewer/137eef19-1d55-4762-adea-7ea0d8345d32
MA-NH160-SEG-0014,2026-02-12,phone,24.5,40,25,2.0522,123.5,244,"[1.08, 0.591, 0.486, 0.133, 1.095, 1.147, 0.728, 0.643, 0.18, 0.979, 0.766, 0.538, 0.451, 1.082, 0.478, 0.71, 0.298, 1.046, 0.138, 0.547, 0.525, 0.474, 0.909, 0.408, 0.315]",3,3.1,2.21,0.0142,dc5405f0-ea0e-496d-953d-dc4b956e6d95,dc5405f0-ea0e-496d-953d-dc4b956e6d95.laz,https://potree.example.com/viewer/dc5405f0-ea0e-496d-953d-dc4b956e6d95
MA-NH60-SEG-0015,2025-12-25,mobile,92.6,40,91,7.6172,143.6,248,"[1.136, 0.155, 0.575, 0.773, 0.729, 0.679, 0.891, 1.192, 0.808, 0.739, 0.428, 1.116, 0.392, 0.962, 0.376, 0.782, 0.283, 0.212, 0.769, 0.239, 0.722, 0.497, 0.602, 0.331, 0.223, 0.244, 0.463, 0.165, 0.496, 1.189, 0.104, 0.437, 0.598, 0.665, 0.498, 0.453, 0.959, 0.468, 0.186, 0.281, 0.257, 0.14, 0.533, 0.558, 1.134, 0.392, 0.327, 0.61, 0.983, 0.476, 0.75, 0.817, 0.287, 0.873, 1.14, 0.514, 0.517, 0.057, 0.813, 1.076, 0.771, 0.721, 0.152, 0.418, 0.689, 0.303, 0.254, 0.228, 0.282, 1.077, 0.509, 0.809, 0.253, 0.973, 0.319, 1.189, 0.608, 0.396, 1.045, 0.766, 0.562, 0.369, 0.512, 0.749, 0.702, 0.11, 0.585, 1.1, 0.416, 1.013, 0.781]",11.9,16.3,3.34,0.0227,e55c8d75-23a5-4961-902c-18d63ddc4d6d,e55c8d75-23a5-4961-902c-18d63ddc4d6d.laz,https://potree.example.com/viewer/e55c8d75-23a5-4961-902c-18d63ddc4d6d
MA-SH60-SEG-0016,2025-03-05,drone,501.7,92,19,1.3068,113.5,213,"[0.369, 0.278, 0.345, 1.06, 0.907, 1.187, 0.102, 1.077, 0.886, 0.673, 0.996, 0.097, 1.136, 0.694, 0.103, 0.38, 0.161, 0.156, 0.927]",9.1,16.2,1.98,0.0202,a139ea58-520d-43e9-b397-d0cf097f8154,a139ea58-520d-43e9-b397-d0cf097f8154.laz,https://potree.example.com/viewer/a139ea58-520d-43e9-b397-d0cf097f8154
MA-NH65-SEG-0017,2025-12-01,mobile,186,44,12,1.139,146.4,215,"[0.987, 1.046, 0.359, 0.383, 0.963, 0.278, 0.741, 0.633, 0.184, 0.276, 0.354, 0.735]",8,10.9,3.03,0.0116,b02f803b-f427-4478-be3d-e3a76b84bf68,b02f803b-f427-4478-be3d-e3a76b84bf68.laz,https://potree.example.com/viewer/b02f803b-f427-4478-be3d-e3a76b84bf68
MA-NH160-SEG-0018,2025-11-14,phone,39.5,40,31,2.6851,143.1,236,"[0.455, 0.875, 0.618, 0.835, 0.896, 0.462, 0.118, 0.696, 0.132, 0.147, 0.527, 1.022, 0.74, 0.765, 0.744, 0.143, 0.669, 0.374, 0.324, 0.872, 0.454, 0.971, 0.947, 0.73, 0.118, 0.169, 0.515, 0.515, 0.341, 0.941, 1.035]",10,12.3,2.15,0.0086,8a394edc-652e-472b-80a1-80fcba024cb3,8a394edc-652e-472b-80a1-80fcba024cb3.laz,https://potree.example.com/viewer/8a394edc-652e-472b-80a1-80fcba024cb3
MA-NH48-SEG-0019,2025-09-07,mobile,290.4,70,28,2.6472,130.1,221,"[1.105, 0.351, 0.468, 0.592, 1.145, 0.74, 0.998, 0.968, 0.183, 0.863, 0.33, 0.714, 0.747, 0.84, 0.986, 0.069, 1.175, 0.814, 0.742, 0.446, 0.539, 0.1, 0.68, 0.302, 0.855, 0.62, 0.369, 0.771]",13,16.9,3.4,0.0142,972f1803-dd37-402c-92d9-64c34d63f566,972f1803-dd37-402c-92d9-64c34d63f566.laz,https://potree.example.com/viewer/972f1803-dd37-402c-92d9-64c34d63f566
MA-NH60-SEG-0020,2025-03-15,mobile,131,40,6,0.5309,119.5,247,"[0.538, 0.351, 0.098, 1.175, 1.001, 0.792]",5.8,8.2,2.26,0.0065,2c1d1e98-d56b-4f2e-bf99-5e367451cfdb,2c1d1e98-d56b-4f2e-bf99-5e367451cfdb.laz,https://potree.example.com/viewer/2c1d1e98-d56b-4f2e-bf99-5e367451cfdb
MA-SH50-SEG-0021,2025-10-03,phone,20.3,40,2,0.4028,206,211,"[0.843, 1.106]",3.2,4.6,2.36,0.0014,9edf661b-6338-4d0a-9050-405652d4015e,9edf661b-6338-4d0a-9050-405652d4015e.laz,https://potree.example.com/viewer/9edf661b-6338-4d0a-9050-405652d4015e
MA-NH65-SEG-0022,2025-04-02,drone,636.4,100,72,6.0221,120.3,243,"[0.44, 0.265, 0.395, 0.861, 0.294, 0.722, 0.154, 0.871, 1.007, 0.666, 1.038, 0.876, 0.349, 0.392, 0.67, 1.035, 0.978, 0.384, 0.445, 0.654, 1.097, 0.106, 0.916, 0.083, 0.666, 0.31, 0.663, 1.175, 0.89, 0.703, 0.478, 0.715, 0.735, 0.564, 0.899, 0.964, 0.815, 0.47, 0.761, 0.665, 0.915, 1.042, 0.881, 1.181, 0.73, 1.152, 0.555, 0.663, 1.015, 1.15, 0.848, 0.252, 1.079, 0.721, 0.364, 0.689, 0.833, 0.822, 1.057, 0.555, 0.069, 0.425, 0.957, 0.321, 0.73, 0.664, 0.724, 0.203, 1.04, 0.248, 0.867, 0.638]",10.4,12.1,2.9,0.0266,5ce03220-1a77-4dcb-ad99-b626fbef3ed6,5ce03220-1a77-4dcb-ad99-b626fbef3ed6.laz,https://potree.example.com/viewer/5ce03220-1a77-4dcb-ad99-b626fbef3ed6
MA-NH48-SEG-0023,2025-04-12,phone,36.3,40,9,0.7105,142.1,204,"[0.274, 0.401, 0.185, 0.673, 0.237, 0.207, 0.928, 1.013, 0.495]",4.4,5.5,2.37,0.0037,a0d58784-16f2-438b-9326-98a10148452c,a0d58784-16f2-438b-9326-98a10148452c.laz,https://potree.example.com/viewer/a0d58784-16f2-438b-9326-98a10148452c
MA-SH50-SEG-0024,2025-11-03,mobile,111.1,40,23,1.5118,103.8,244,"[0.163, 1.071, 0.358, 0.877, 1.138, 1.171, 0.161, 0.611, 1.068, 0.388, 0.552, 1.09, 0.571, 1.193, 0.362, 0.783, 0.951, 0.333, 0.494, 0.486, 0.651, 1.029, 1.102]",16.6,22.1,3.23,0.0175,2d2d327c-ca2b-44b5-a459-681caf79e2dd,2d2d327c-ca2b-44b5-a459-681caf79e2dd.laz,https://potree.example.com/viewer/2d2d327c-ca2b-44b5-a459-681caf79e2dd
MA-NH160-SEG-0025,2025-03-17,mobile,146.2,40,22,1.988,139.2,241,"[0.727, 0.944, 0.669, 1.146, 0.933, 0.122, 0.957, 0.752, 0.084, 0.635, 0.542, 0.874, 0.812, 0.801, 1.074, 0.224, 1.125, 0.376, 0.79, 0.19, 0.761, 0.766]",6.9,11.9,2.21,0.0105,0f42f363-5c22-4f70-bf60-80a58a874ac7,0f42f363-5c22-4f70-bf60-80a58a874ac7.laz,https://potree.example.com/viewer/0f42f363-5c22-4f70-bf60-80a58a874ac7
MA-SH60-SEG-0026,2025-02-27,mobile,236.8,58,7,0.3824,150.7,206,"[0.205, 0.599, 0.563, 0.556, 0.187, 0.11, 0.323]",17.3,27.8,3.5,0.0047,1ffbc3e3-7ff6-4e3b-b75c-714780c63740,1ffbc3e3-7ff6-4e3b-b75c-714780c63740.laz,https://potree.example.com/viewer/1ffbc3e3-7ff6-4e3b-b75c-714780c63740
MA-NH48-SEG-0027,2025-11-25,mobile,287.7,68,68,5.8074,141,240,"[0.112, 0.145, 0.113, 0.583, 0.471, 0.085, 0.47, 0.082, 0.586, 0.111, 0.859, 0.473, 1.119, 0.802, 0.39, 0.53, 0.802, 0.433, 0.141, 0.269, 0.195, 1.126, 0.694, 1.078, 1.128, 0.702, 0.988, 0.704, 0.224, 0.1, 0.206, 0.984, 0.607, 1.187, 1.101, 0.238, 0.459, 0.162, 0.518, 0.112, 0.623, 0.867, 0.107, 1.162, 0.838, 0.587, 0.131, 0.314, 0.298, 0.593, 0.479, 0.593, 0.42, 0.885, 0.433, 0.084, 1.138, 0.947, 0.861, 0.278, 0.875, 0.535, 0.653, 0.512, 1.176, 1.045, 0.323, 0.785]",6.4,7.3,2.74,0.0248,96e5ee94-d223-462e-a45b-5cf11b360bb1,96e5ee94-d223-462e-a45b-5cf11b360bb1.laz,https://potree.example.com/viewer/96e5ee94-d223-462e-a45b-5cf11b360bb1
MA-SH60-SEG-0028,2025-07-20,drone,260.6,59,54,4.7953,142.5,248,"[0.133, 0.12, 0.826, 0.3, 0.763, 0.339, 0.461, 1.173, 0.381, 0.585, 0.582, 0.927, 0.534, 1.007, 0.587, 0.863, 0.61, 0.66, 0.597, 0.61, 0.684, 0.386, 1.011, 1.033, 1.073, 0.812, 0.643, 0.289, 0.788, 1.001, 0.815, 0.238, 1.176, 0.822, 1.193, 0.945, 0.101, 0.287, 1.119, 0.711, 0.538, 0.29, 0.898, 0.788, 0.4, 0.06, 0.667, 0.493, 0.49, 0.516, 1.072, 0.064, 0.329, 0.133]",8.9,9.1,2.86,0.0206,a47ff2da-367c-4acb-87b7-c7e57c9c5c9d,a47ff2da-367c-4acb-87b7-c7e57c9c5c9d.laz,https://potree.example.com/viewer/a47ff2da-367c-4acb-87b7-c7e57c9c5c9d
MA-NH160-SEG-0029,2025-07-28,phone,38,40,12,0.6001,107.7,191,"[0.119, 0.095, 0.613, 0.24, 0.119, 0.072, 0.466, 0.983, 0.852, 0.728, 0.182, 0.97]",1.1,1.5,0.95,0.0026,05c52017-c0f0-446f-8c25-77cdc70e0403,05c52017-c0f0-446f-8c25-77cdc70e0403.laz,https://potree.example.com/viewer/05c52017-c0f0-446f-8c25-77cdc70e0403
MA-NH160-SEG-0030,2025-03-15,mobile,235.3,59,18,1.5004,113.7,199,"[1.027, 0.079, 0.972, 1.074, 0.759, 1.12, 0.495, 0.797, 1.053, 0.196, 1.026, 0.273, 0.948, 0.646, 0.6, 0.838, 0.563, 0.924]",4.9,7.6,1.54,0.0058,12f16892-e3ff-4fbe-9975-4bec4a4ef1e9,12f16892-e3ff-4fbe-9975-4bec4a4ef1e9.laz,https://potree.example.com/viewer/12f16892-e3ff-4fbe-9975-4bec4a4ef1e9
MA-NH48-SEG-0031,2026-01-17,mobile,120.2,40,33,2.6883,131.9,246,"[0.339, 0.272, 0.337, 0.365, 0.964, 1.182, 0.843, 0.776, 1.138, 0.824, 0.707, 0.627, 0.371, 0.735, 0.865, 0.879, 0.929, 0.374, 0.616, 0.279, 0.505, 0.396, 0.458, 1.08, 0.876, 0.231, 0.163, 0.896, 1.073, 0.096, 0.857, 0.374, 0.21]",10.6,16.3,3.31,0.0255,e663e7ac-5838-4e03-83bc-c8de9a0a2d48,e663e7ac-5838-4e03-83bc-c8de9a0a2d48.laz,https://potree.example.com/viewer/e663e7ac-5838-4e03-83bc-c8de9a0a2d48
MA-NH160-SEG-0032,2025-10-02,mobile,96.3,40,3,0.2854,108.7,211,"[0.677, 1.037, 0.439]",4,6.3,2.22,0.0015,cac931db-c16c-4dc8-a468-84eec2bb9b33,cac931db-c16c-4dc8-a468-84eec2bb9b33.laz,https://potree.example.com/viewer/cac931db-c16c-4dc8-a468-84eec2bb9b33
MA-NH60-SEG-0033,2025-07-10,mobile,233.1,55,15,1.4638,148.1,249,"[0.949, 0.641, 0.97, 0.908, 0.559, 0.916, 1.121, 0.371, 0.375, 0.814, 0.4, 0.132, 0.122, 1.107, 0.583]",3.5,4.2,2.06,0.0052,2fd85588-8e2a-4e92-9c8f-7dd289e801f5,2fd85588-8e2a-4e92-9c8f-7dd289e801f5.laz,https://potree.example.com/viewer/2fd85588-8e2a-4e92-9c8f-7dd289e801f5
MA-SH50-SEG-0034,2025-12-24,phone,12,40,27,2.0255,128.9,248,"[0.319, 0.455, 0.936, 0.727, 0.761, 1.153, 0.436, 0.32, 1.122, 0.129, 0.658, 1.101, 0.201, 0.179, 0.898, 1.068, 0.295, 1.011, 0.299, 0.442, 0.529, 0.062, 0.609, 0.698, 0.373, 0.157, 0.465]",5.7,10.1,2.68,0.02,436a9fb4-c6a3-4a90-a9df-998074feb523,436a9fb4-c6a3-4a90-a9df-998074feb523.laz,https://potree.example.com/viewer/436a9fb4-c6a3-4a90-a9df-998074feb523
MA-SH60-SEG-0035,2025-12-26,mobile,147.8,40,16,1.6684,168.2,249,"[1.069, 0.789, 0.193, 0.109, 0.164, 0.12, 0.653, 1.011, 1.058, 0.816, 1.07, 0.245, 0.427, 1.035, 0.399, 0.887]",1.2,1.6,1.96,0.008,170aec61-9d98-4eb9-98b9-6e9040b160dd,170aec61-9d98-4eb9-98b9-6e9040b160dd.laz,https://potree.example.com/viewer/170aec61-9d98-4eb9-98b9-6e9040b160dd
MA-NH48-SEG-0036,2025-09-03,phone,5.4,40,5,0.4038,135.4,221,"[0.161, 0.409, 1.019, 0.756, 0.588]",2.8,3.1,1.9,0.0021,ad328a40-59e3-428d-b4ad-6e9ec1383313,ad328a40-59e3-428d-b4ad-6e9ec1383313.laz,https://potree.example.com/viewer/ad328a40-59e3-428d-b4ad-6e9ec1383313
MA-SH60-SEG-0037,2025-10-04,phone,31.9,40,24,2.0438,133.4,241,"[0.417, 1.161, 0.67, 0.174, 1.093, 0.228, 0.928, 0.793, 0.176, 0.8, 0.224, 1.118, 0.26, 0.716, 0.466, 1.18, 0.145, 0.534, 1.055, 0.304, 0.344, 0.277, 0.182, 1.056]",3,4.4,1.96,0.0066,a0ff98a6-3c91-4b20-892e-d1a940272e43,a0ff98a6-3c91-4b20-892e-d1a940272e43.laz,https://potree.example.com/viewer/a0ff98a6-3c91-4b20-892e-d1a940272e43
MA-NH60-SEG-0038,2025-11-16,mobile,221,46,18,1.4154,136.6,242,"[0.279, 0.75, 0.114, 0.756, 0.501, 0.928, 0.924, 0.228, 1.113, 0.185, 0.499, 0.408, 0.34, 1.107, 0.807, 0.758, 0.09, 0.931]",12.1,20.2,3.51,0.0128,3a1e17d3-a956-4c92-b5bc-25716b8428db,3a1e17d3-a956-4c92-b5bc-25716b8428db.laz,https://potree.example.com/viewer/3a1e17d3-a956-4c92-b5bc-25716b8428db
MA-SH50-SEG-0039,2025-06-13,mobile,236.4,55,6,0.4093,85.5,176,"[0.567, 0.627, 0.633, 1.154, 0.707, 0.129]",8.6,11,2.05,0.0073,17e97619-a3f1-4db2-a5f6-28a80f1652f7,17e97619-a3f1-4db2-a5f6-28a80f1652f7.laz,https://potree.example.com/viewer/17e97619-a3f1-4db2-a5f6-28a80f1652f7
MA-SH60-SEG-0040,2025-02-27,mobile,197.1,54,27,2.5118,149,239,"[0.425, 1.027, 0.197, 0.317, 0.246, 0.922, 0.882, 0.744, 1.18, 0.099, 0.305, 0.325, 1.078, 1.194, 0.258, 0.172, 0.341, 0.676, 0.933, 0.502, 0.76, 0.798, 0.308, 0.057, 0.126, 0.509, 0.873]",15.1,20.6,3.05,0.0063,7a513d10-2598-419c-8f67-a802a1f0b995,7a513d10-2598-419c-8f67-a802a1f0b995.laz,https://potree.example.com/viewer/7a513d10-2598-419c-8f67-a802a1f0b995
MA-SH60-SEG-0041,2025-09-07,mobile,280,63,16,1.2445,114.7,235,"[0.909, 1.077, 0.478, 0.342, 0.68, 0.673, 0.63, 0.908, 0.879, 0.857, 0.179, 0.885, 0.411, 0.692, 0.452, 0.489]",2.4,2.4,1.53,0.0065,d8f7b78d-81e4-4396-bca4-0d082c60e368,d8f7b78d-81e4-4396-bca4-0d082c60e368.laz,https://potree.example.com/viewer/d8f7b78d-81e4-4396-bca4-0d082c60e368
MA-NH60-SEG-0042,2025-07-31,drone,440.3,98,10,1.0831,164.2,239,"[1.163, 0.115, 0.081, 0.869, 0.58, 0.798, 1.17, 0.496, 0.108, 0.967]",12,17.1,3.67,0.0045,eb9eb7c7-0660-4513-a350-0623fd1fed65,eb9eb7c7-0660-4513-a350-0623fd1fed65.laz,https://potree.example.com/viewer/eb9eb7c7-0660-4513-a350-0623fd1fed65
