geojson_id,highway_ref,segment_number,condition,start_lat,start_lon,end_lat,end_lon,highway_type,oneway,lanes,maxspeed,road_id,name,segment_start_km,segment_end_km,jurisdiction,category,length_km,lane_count,surface_type,year_constructed,last_major_rehab_year,status,state,district,taluka,region_type,terrain_type,slope_category,monsoon_rainfall_category,landslide_prone,flood_prone,ghat_section_flag,tourism_route_flag,elevation_m,avg_daily_traffic,truck_percentage,peak_hour_traffic,traffic_weight,seasonal_variation
way/22841986,NH48,11,very_bad,18.76545,73.3512807,18.7660351,73.3513498,trunk,yes,N/A,N/A,MA-NH48-SEG-0063,NH48 Segment 63,105.0,111.6,NHAI,Urban,6.6,6,earthen,1998,,active,Maharashtra,Satara,Mahabaleshwar,ghat,steep,steep,high,True,False,True,True,961.4,8667,41.0,833,1.0,"{""M1"":0.9,""M2"":0.89,""M3"":1.01,""M4"":1.05,""M5"":0.96,""M6"":0.99,""M7"":0.81,""M8"":1.13,""M9"":0.86,""M10"":0.94,""M11"":1.15,""M12"":0.93}"
way/22841988,NH48,12,very_bad,18.7582843,73.3756046,18.767328,73.3606455,trunk,no,N/A,N/A,MA-NH48-SEG-0068,NH48 Segment 68,34.8,49.2,Municipality,Urban,14.4,2,gravel,2012,,under_construction,Maharashtra,Dhule,Sakri,plateau,plain,flat,low,False,False,False,True,582.0,5765,10.2,349,1.0,"{""M1"":1.2,""M2"":1.02,""M3"":0.94,""M4"":0.82,""M5"":1.17,""M6"":0.99,""M7"":1.12,""M8"":1.07,""M9"":0.92,""M10"":1.07,""M11"":0.91,""M12"":0.96}"
way/22841989,NH48,13,very_bad,18.767328,73.3606455,18.7661569,73.3597827,trunk,no,N/A,N/A,MA-NH48-SEG-0073,NH48 Segment 73,164.8,175.8,Municipality,Inter-State,11.0,6,gravel,2018,2009.0,under_construction,Maharashtra,Raigad,Mahad,coastal,hilly,moderate,high,False,True,False,False,260.0,11115,28.5,1054,1.5,"{""M1"":1.07,""M2"":0.89,""M3"":0.86,""M4"":1.04,""M5"":1.02,""M6"":0.98,""M7"":1.13,""M8"":1.15,""M9"":1.11,""M10"":0.92,""M11"":0.86,""M12"":0.89}"
way/22841992,NH48,14,good,18.7487038,73.6220549,18.7527267,73.6088849,trunk,yes,2,N/A,MA-NH48-SEG-0080,NH48 Segment 80,182.6,189.9,NHAI,Inter-State,7.3,2,gravel,2021,2011.0,active,Maharashtra,Raigad,Mahad,coastal,hilly,moderate,high,False,True,False,True,183.9,10885,38.5,1028,1.5,"{""M1"":0.84,""M2"":0.9,""M3"":1.07,""M4"":0.96,""M5"":0.91,""M6"":0.85,""M7"":1.12,""M8"":0.8,""M9"":0.84,""M10"":0.87,""M11"":1.08,""M12"":0.89}"
way/22841995,NH48,15,very_bad,18.7488095,73.6220947,18.7455439,73.6289092,trunk,yes,2,N/A,MA-NH48-SEG-0082,NH48 Segment 82,138.6,145.2,State PWD,Urban,6.6,4,gravel,1998,,active,Maharashtra,Nashik,Sinnar,ghat,steep,steep,medium,True,False,True,False,1144.3,9137,18.9,945,1.0,"{""M1"":0.9,""M2"":0.99,""M3"":1.09,""M4"":1.19,""M5"":1.19,""M6"":1.18,""M7"":1.19,""M8"":1.13,""M9"":0.94,""M10"":1.06,""M11"":0.84,""M12"":1.18}"
way/22842005,NH48,16,average,18.8111619,73.3135211,18.8041113,73.3211716,trunk,yes,2,N/A,MA-NH48-SEG-0091,NH48 Segment 91,5.4,20.3,State PWD,Urban,14.9,2,bitumen,2017,,active,Maharashtra,Dhule,Dhule,plateau,plain,flat,low,False,False,False,False,379.9,4476,40.1,497,0.5,"{""M1"":1.07,""M2"":0.99,""M3"":1.11,""M4"":1.13,""M5"":0.98,""M6"":1.14,""M7"":1.15,""M8"":1.11,""M9"":0.93,""M10"":0.91,""M11"":0.86,""M12"":1.06}"
way/22842006,NH48,17,good,18.7710354,73.3365497,18.8004212,73.3222508,trunk,yes,2,N/A,MA-NH48-SEG-0101,NH48 Segment 101,20.0,35.1,State PWD,Urban,15.1,4,gravel,2014,2017.0,under_construction,Maharashtra,Solapur,Mangalwedha,plateau,plain,flat,low,False,False,False,True,217.6,2007,35.8,158,0.5,"{""M1"":1.15,""M2"":1.0,""M3"":1.09,""M4"":0.87,""M5"":1.02,""M6"":0.84,""M7"":1.01,""M8"":1.0,""M9"":1.18,""M10"":0.98,""M11"":1.0,""M12"":1.17}"
way/22842095,NH48,18,good,18.8340712,73.2886847,18.8614045,73.2734243,trunk,yes,2,N/A,MA-NH48-SEG-0119,NH48 Segment 119,27.2,34.5,NHAI,Inter-State,7.3,6,concrete,2012,2016.0,active,Maharashtra,Satara,Mahabaleshwar,ghat,steep,steep,high,True,False,True,True,1053.8,4359,34.9,327,0.5,"{""M1"":1.17,""M2"":1.19,""M3"":1.09,""M4"":0.91,""M5"":0.84,""M6"":1.2,""M7"":1.04,""M8"":1.18,""M9"":0.93,""M10"":0.98,""M11"":0.98,""M12"":1.18}"
way/22842097,NH48,19,good,18.8928399,73.2584787,18.8616782,73.2734563,trunk,yes,2,N/A,MA-NH48-SEG-0127,NH48 Segment 127,111.3,121.3,PMGSY,National,10.0,2,gravel,2011,,active,Maharashtra,Satara,Patan,ghat,steep,steep,high,True,False,True,False,1169.2,7449,36.1,775,1.0,"{""M1"":0.83,""M2"":0.82,""M3"":0.96,""M4"":1.1,""M5"":1.15,""M6"":1.16,""M7"":1.05,""M8"":1.01,""M9"":0.82,""M10"":0.93,""M11"":0.99,""M12"":0.81}"
way/22842099,NH48,20,good,18.8888802,73.264787,18.8927759,73.258427,trunk,yes,2,N/A,MA-NH48-SEG-0129,NH48 Segment 129,165.7,185.5,Municipality,Urban,19.8,4,gravel,1998,2009.0,active,Maharashtra,Raigad,Shrivardhan,coastal,hilly,moderate,high,False,True,False,False,107.0,6467,36.6,408,1.0,"{""M1"":1.08,""M2"":0.95,""M3"":0.95,""M4"":1.05,""M5"":0.98,""M6"":1.09,""M7"":1.0,""M8"":0.81,""M9"":0.93,""M10"":1.09,""M11"":1.03,""M12"":1.09}"
way/22842100,NH48,21,good,18.9011901,73.2277721,18.9146379,73.2029744,trunk,yes,2,N/A,MA-NH48-SEG-0135,NH48 Segment 135,37.0,55.5,Municipality,State,18.5,4,concrete,2014,2020.0,under_construction,Maharashtra,Satara,Karad,ghat,steep,steep,high,True,False,True,False,709.0,8944,22.4,663,1.0,"{""M1"":1.07,""M2"":1.11,""M3"":1.14,""M4"":0.87,""M5"":0.97,""M6"":1.14,""M7"":1.0,""M8"":0.86,""M9"":0.93,""M10"":0.95,""M11"":0.98,""M12"":0.99}"
way/22842102,NH48,22,very_bad,18.9329024,73.1917504,18.9148108,73.2031009,trunk,yes,2,N/A,MA-NH48-SEG-0139,NH48 Segment 139,163.3,180.5,PMGSY,State,17.2,4,earthen,2014,,active,Maharashtra,Nagpur,Hingna,plain,plain,flat,medium,False,False,False,False,563.8,4844,38.6,569,0.5,"{""M1"":0.95,""M2"":0.96,""M3"":1.11,""M4"":1.04,""M5"":1.18,""M6"":1.18,""M7"":0.97,""M8"":0.98,""M9"":0.91,""M10"":1.1,""M11"":0.91,""M12"":0.89}"
way/22842106,NH48,23,very_bad,18.998399,73.1098193,18.9982075,73.1100956,trunk,yes,2,N/A,MA-NH48-SEG-0146,NH48 Segment 146,146.3,151.6,State PWD,National,5.3,2,earthen,2005,2014.0,active,Maharashtra,Solapur,Mangalwedha,plateau,plain,flat,low,False,False,False,False,545.9,7775,40.8,867,1.0,"{""M1"":1.11,""M2"":1.05,""M3"":0.95,""M4"":0.91,""M5"":1.19,""M6"":1.08,""M7"":1.2,""M8"":1.2,""M9"":0.93,""M10"":0.84,""M11"":0.86,""M12"":1.07}"
way/22845273,NH48,24,good,19.011904,73.1073386,19.0083476,73.107827,trunk,yes,2,N/A,MA-NH48-SEG-0148,NH48 Segment 148,71.1,94.6,PMGSY,State,23.5,4,concrete,2020,,active,Maharashtra,Sindhudurg,Sawantwadi,coastal,hilly,moderate,high,False,True,False,True,190.9,7729,24.7,513,1.0,"{""M1"":0.89,""M2"":1.12,""M3"":1.1,""M4"":1.17,""M5"":0.95,""M6"":1.19,""M7"":0.84,""M8"":0.94,""M9"":1.03,""M10"":1.04,""M11"":1.13,""M12"":1.09}"
way/22860265,NH48,25,very_bad,19.080472,72.8466836,19.0826067,72.8462915,trunk,yes,N/A,N/A,MA-NH48-SEG-0155,NH48 Segment 155,171.2,180.5,NHAI,National,9.3,4,gravel,2021,2010.0,under_construction,Maharashtra,Satara,Karad,ghat,steep,steep,high,True,False,True,True,840.3,7735,15.5,592,1.0,"{""M1"":1.04,""M2"":1.19,""M3"":0.93,""M4"":1.14,""M5"":1.01,""M6"":0.81,""M7"":1.17,""M8"":0.88,""M9"":0.85,""M10"":1.11,""M11"":0.92,""M12"":0.91}"
way/22950635,NH48,26,good,18.5073268,73.786961,18.5074757,73.7822517,trunk,yes,3,80,MA-NH48-SEG-0169,NH48 Segment 169,60.6,81.2,NHAI,Urban,20.6,2,concrete,2001,,active,Maharashtra,Dhule,Sakri,plateau,plain,flat,low,False,False,False,True,553.3,2905,15.9,202,0.5,"{""M1"":0.86,""M2"":1.17,""M3"":0.88,""M4"":0.94,""M5"":0.91,""M6"":1.06,""M7"":0.93,""M8"":1.14,""M9"":1.09,""M10"":0.82,""M11"":0.81,""M12"":1.13}"
way/22950636,NH48,27,very_bad,18.4898925,73.7918735,18.4918443,73.7894641,trunk,yes,N/A,80,MA-NH48-SEG-0177,NH48 Segment 177,181.3,191.2,State PWD,Inter-State,9.9,6,gravel,2001,2011.0,under_construction,Maharashtra,Solapur,Mangalwedha,plateau,plain,flat,low,False,False,False,False,382.3,2143,29.2,132,0.5,"{""M1"":0.84,""M2"":1.12,""M3"":0.99,""M4"":1.05,""M5"":0.95,""M6"":0.81,""M7"":1.13,""M8"":1.17,""M9"":0.82,""M10"":1.1,""M11"":1.05,""M12"":1.12}"
way/23016269,NH48,28,very_bad,18.474109,73.80978,18.4751868,73.8088302,trunk,yes,2,80,MA-NH48-SEG-0183,NH48 Segment 183,24.0,40.0,Municipality,National,16.0,6,earthen,2021,2015.0,active,Maharashtra,Pune,Haveli,urban_corridor,plain,moderate,medium,False,False,False,True,478.7,24319,31.9,2013,2.0,"{""M1"":1.13,""M2"":0.81,""M3"":0.81,""M4"":1.09,""M5"":1.05,""M6"":1.09,""M7"":1.06,""M8"":1.19,""M9"":1.2,""M10"":0.94,""M11"":1.17,""M12"":1.18}"
way/25374735,NH48,29,very_bad,18.7581024,73.5500573,18.7591424,73.5524673,trunk,yes,2,N/A,MA-NH48-SEG-0189,NH48 Segment 189,128.2,146.2,Municipality,National,18.0,2,earthen,2002,2023.0,active,Maharashtra,Nashik,Trimbak,ghat,steep,steep,medium,True,False,True,False,1050.2,8478,14.8,944,1.0,"{""M1"":1.03,""M2"":1.1,""M3"":0.99,""M4"":1.08,""M5"":0.82,""M6"":1.16,""M7"":1.19,""M8"":0.87,""M9"":1.04,""M10"":1.02,""M11"":0.81,""M12"":0.95}"
way/25382160,NH48,30,very_bad,16.7105056,74.2804691,16.7113477,74.2806679,trunk,yes,N/A,N/A,MA-NH48-SEG-0191,NH48 Segment 191,108.2,129.2,PMGSY,National,21.0,2,concrete,1998,2017.0,active,Maharashtra,Solapur,Mangalwedha,plateau,plain,flat,low,False,False,False,False,464.3,5319,35.1,540,1.0,"{""M1"":1.16,""M2"":1.04,""M3"":0.85,""M4"":0.94,""M5"":0.82,""M6"":0.88,""M7"":1.09,""M8"":1.19,""M9"":0.97,""M10"":1.18,""M11"":0.93,""M12"":0.87}"
way/25519257,NH48,31,average,16.7075371,74.2797036,16.7105056,74.2804691,trunk,yes,N/A,N/A,MA-NH48-SEG-0202,NH48 Segment 202,124.1,130.5,PMGSY,Urban,6.4,6,bitumen,2008,,under_construction,Maharashtra,Pune,Bhor,urban_corridor,plain,moderate,medium,False,False,False,False,69.2,27374,36.0,2179,2.0,"{""M1"":1.17,""M2"":1.07,""M3"":1.18,""M4"":0.93,""M5"":0.9,""M6"":1.1,""M7"":0.88,""M8"":1.05,""M9"":0.91,""M10"":1.01,""M11"":1.17,""M12"":0.84}"
way/28722481,NH48,32,good,18.6526936,73.7336539,18.6475222,73.7357511,trunk,yes,3,80,MA-NH48-SEG-0204,NH48 Segment 204,24.3,31.4,PMGSY,National,7.1,2,earthen,2013,2017.0,active,Maharashtra,Solapur,Barshi,plateau,plain,flat,low,False,False,False,True,105.9,2455,26.7,171,0.5,"{""M1"":1.03,""M2"":1.09,""M3"":1.19,""M4"":0.94,""M5"":0.81,""M6"":0.86,""M7"":0.95,""M8"":0.91,""M9"":0.89,""M10"":0.88,""M11"":1.13,""M12"":1.16}"
way/28722689,NH48,33,average,18.6630495,73.7294474,18.6612251,73.7302299,trunk,yes,3,80,MA-NH48-SEG-0206,NH48 Segment 206,115.7,126.0,NHAI,Inter-State,10.3,2,gravel,2020,,active,Maharashtra,Pune,Bhor,urban_corridor,plain,moderate,medium,False,False,False,False,588.9,22801,12.6,2159,2.0,"{""M1"":0.83,""M2"":1.18,""M3"":1.03,""M4"":0.89,""M5"":0.99,""M6"":1.04,""M7"":0.96,""M8"":0.92,""M9"":1.02,""M10"":1.07,""M11"":1.13,""M12"":1.1}"
way/28722701,NH48,34,very_bad,18.6868506,73.720721,18.6780079,73.7238013,trunk,yes,3,80,MA-NH48-SEG-0213,NH48 Segment 213,86.6,111.4,PMGSY,Inter-State,24.8,4,bitumen,2022,,under_construction,Maharashtra,Nashik,Igatpuri,ghat,steep,steep,medium,True,False,True,False,731.7,9018,43.8,758,1.0,"{""M1"":1.02,""M2"":1.01,""M3"":1.13,""M4"":0.91,""M5"":0.97,""M6"":1.19,""M7"":0.97,""M8"":1.18,""M9"":0.99,""M10"":0.83,""M11"":1.07,""M12"":0.96}"
way/28722960,NH48,35,average,18.696129,73.709375,18.6870593,73.7203927,trunk,yes,2,100,MA-NH48-SEG-0219,NH48 Segment 219,160.3,165.9,State PWD,Urban,5.6,4,gravel,2014,2011.0,active,Maharashtra,Raigad,Shrivardhan,coastal,hilly,moderate,high,False,True,False,False,120.9,14319,18.5,1672,1.5,"{""M1"":1.11,""M2"":1.17,""M3"":0.95,""M4"":1.12,""M5"":0.96,""M6"":0.82,""M7"":0.96,""M8"":1.04,""M9"":0.88,""M10"":0.97,""M11"":1.09,""M12"":0.94}"
way/28722985,NH48,36,good,18.7280536,73.6541835,18.6988492,73.6975293,trunk,yes,2,N/A,MA-NH48-SEG-0235,NH48 Segment 235,21.0,44.6,PMGSY,National,23.6,6,gravel,1999,2008.0,under_construction,Maharashtra,Solapur,Mangalwedha,plateau,plain,flat,low,False,False,False,True,0.8,5130,40.0,364,1.0,"{""M1"":0.97,""M2"":1.13,""M3"":0.93,""M4"":1.01,""M5"":0.87,""M6"":1.1,""M7"":1.05,""M8"":1.1,""M9"":0.97,""M10"":0.86,""M11"":0.84,""M12"":1.08}"
way/28723230,NH48,37,good,18.6607939,73.7302501,18.6611732,73.7300967,trunk,yes,3,80,MA-NH48-SEG-0238,NH48 Segment 238,16.7,38.2,PMGSY,State,21.5,6,concrete,2010,2018.0,active,Maharashtra,Dhule,Sakri,plateau,plain,flat,low,False,False,False,False,100.8,6040,25.3,630,1.0,"{""M1"":0.84,""M2"":1.15,""M3"":0.97,""M4"":1.03,""M5"":0.94,""M6"":1.2,""M7"":1.17,""M8"":0.96,""M9"":1.16,""M10"":0.91,""M11"":1.05,""M12"":0.84}"
way/28723248,NH48,38,very_bad,18.6601525,73.7306459,18.6581592,73.731421,trunk,yes,3,80,MA-NH48-SEG-0239,NH48 Segment 239,110.6,117.5,Municipality,Urban,6.9,4,concrete,2004,,active,Maharashtra,Nagpur,Kamptee,plain,plain,flat,medium,False,False,False,False,24.9,7284,32.1,491,1.0,"{""M1"":0.85,""M2"":0.82,""M3"":0.95,""M4"":0.89,""M5"":0.9,""M6"":0.82,""M7"":0.91,""M8"":0.94,""M9"":1.12,""M10"":1.01,""M11"":0.88,""M12"":1.02}"
way/28724472,NH48,39,average,18.5863171,73.7592505,18.5875172,73.7588012,trunk,yes,2,80,MA-NH48-SEG-0253,NH48 Segment 253,53.9,73.4,Municipality,National,19.5,2,concrete,2018,,under_construction,Maharashtra,Pune,Bhor,urban_corridor,plain,moderate,medium,False,False,False,False,142.1,24662,31.5,2398,2.0,"{""M1"":0.97,""M2"":1.15,""M3"":1.13,""M4"":0.96,""M5"":0.87,""M6"":1.17,""M7"":1.14,""M8"":1.14,""M9"":1.06,""M10"":0.82,""M11"":0.97,""M12"":0.89}"
way/28724473,NH48,40,average,18.5875172,73.7588012,18.5895066,73.7580506,trunk,yes,3,80,MA-NH48-SEG-0260,NH48 Segment 260,165.7,177.9,State PWD,Inter-State,12.2,6,gravel,2017,2012.0,under_construction,Maharashtra,Dhule,Sakri,plateau,plain,flat,low,False,False,False,True,361.4,6159,36.9,717,1.0,"{""M1"":0.91,""M2"":0.97,""M3"":0.83,""M4"":1.07,""M5"":1.01,""M6"":0.92,""M7"":0.87,""M8"":0.96,""M9"":1.15,""M10"":1.18,""M11"":0.99,""M12"":0.84}"
way/28724485,NH48,41,average,18.5875595,73.7589261,18.5863596,73.7593754,trunk,yes,2,80,MA-NH48-SEG-0265,NH48 Segment 265,94.4,101.1,PMGSY,Urban,6.7,2,bitumen,2020,2020.0,active,Maharashtra,Pune,Mulshi,urban_corridor,plain,moderate,medium,False,False,False,False,379.4,16887,36.6,1663,1.5,"{""M1"":0.82,""M2"":1.18,""M3"":0.85,""M4"":0.89,""M5"":0.94,""M6"":1.13,""M7"":1.05,""M8"":0.98,""M9"":0.86,""M10"":1.11,""M11"":0.86,""M12"":1.09}"
way/28724862,NH48,42,good,18.6440456,73.7369916,18.6450888,73.7365705,trunk,yes,2,80,MA-NH48-SEG-0272,NH48 Segment 272,145.0,152.2,NHAI,Urban,7.2,4,gravel,2009,,active,Maharashtra,Kolhapur,Panhala,ghat,steep,steep,high,True,False,True,False,911.5,8487,25.5,811,1.0,"{""M1"":1.04,""M2"":0.94,""M3"":1.04,""M4"":0.93,""M5"":1.06,""M6"":0.95,""M7"":0.88,""M8"":0.92,""M9"":1.07,""M10"":0.84,""M11"":1.06,""M12"":1.14}"
way/28724863,NH48,43,good,18.6441002,73.737136,18.6344881,73.7408747,trunk,yes,3,80,MA-NH48-SEG-0274,NH48 Segment 274,61.4,79.2,PMGSY,National,17.8,4,concrete,2010,2008.0,under_construction,Maharashtra,Nagpur,Umred,plain,plain,flat,medium,False,False,False,True,263.1,5794,25.3,410,1.0,"{""M1"":0.98,""M2"":0.96,""M3"":0.94,""M4"":1.17,""M5"":0.84,""M6"":0.92,""M7"":0.96,""M8"":0.98,""M9"":1.0,""M10"":0.99,""M11"":1.16,""M12"":1.12}"
way/28724867,NH48,44,average,18.6526763,73.733475,18.6570939,73.7317072,trunk,yes,3,80,MA-NH48-SEG-0280,NH48 Segment 280,89.4,112.9,State PWD,Inter-State,23.5,6,concrete,2001,2014.0,under_construction,Maharashtra,Dhule,Sakri,plateau,plain,flat,low,False,False,False,False,380.9,4464,20.2,460,0.5,"{""M1"":0.89,""M2"":0.97,""M3"":1.13,""M4"":0.85,""M5"":1.11,""M6"":0.86,""M7"":1.11,""M8"":0.99,""M9"":0.88,""M10"":1.13,""M11"":1.02,""M12"":1.02}"
way/28724869,NH48,45,good,18.6451403,73.7367113,18.6441002,73.737136,trunk,yes,2,80,MA-NH48-SEG-0289,NH48 Segment 289,47.8,66.4,Municipality,Inter-State,18.6,4,concrete,2015,2011.0,under_construction,Maharashtra,Raigad,Alibag,coastal,hilly,moderate,high,False,True,False,True,283.2,11213,38.9,878,1.5,"{""M1"":1.13,""M2"":0.96,""M3"":0.84,""M4"":0.94,""M5"":1.13,""M6"":1.17,""M7"":0.83,""M8"":1.13,""M9"":1.12,""M10"":1.16,""M11"":1.02,""M12"":0.99}"
way/28724942,NH48,46,good,18.6581592,73.731421,18.6575034,73.7317088,trunk,yes,3,80,MA-NH48-SEG-0293,NH48 Segment 293,1.5,25.2,NHAI,National,23.7,2,bitumen,2020,2012.0,active,Maharashtra,Pune,Haveli,urban_corridor,plain,moderate,medium,False,False,False,False,468.2,16510,21.9,1262,1.5,"{""M1"":1.04,""M2"":0.97,""M3"":0.92,""M4"":0.93,""M5"":1.08,""M6"":0.93,""M7"":0.97,""M8"":0.99,""M9"":1.19,""M10"":0.85,""M11"":1.17,""M12"":1.0}"
way/28724944,NH48,47,average,18.6581176,73.7313325,18.6607939,73.7302501,trunk,yes,3,80,MA-NH48-SEG-0296,NH48 Segment 296,107.8,117.9,Municipality,Inter-State,10.1,4,gravel,2020,,active,Maharashtra,Kolhapur,Karveer,ghat,steep,steep,high,True,False,True,True,809.5,7484,10.6,601,1.0,"{""M1"":0.97,""M2"":0.98,""M3"":0.81,""M4"":1.03,""M5"":1.06,""M6"":0.81,""M7"":0.87,""M8"":0.99,""M9"":1.04,""M10"":0.98,""M11"":1.17,""M12"":1.11}"
way/30812922,NH48,48,good,19.1457288,73.0421805,19.1431527,73.0467443,trunk,yes,2,N/A,MA-NH48-SEG-0304,NH48 Segment 304,30.0,50.2,NHAI,National,20.2,4,gravel,2019,,active,Maharashtra,Pune,Haveli,urban_corridor,plain,moderate,medium,False,False,False,False,387.2,26536,21.9,2687,2.0,"{""M1"":1.12,""M2"":0.88,""M3"":0.89,""M4"":0.98,""M5"":1.06,""M6"":0.95,""M7"":0.9,""M8"":0.8,""M9"":0.88,""M10"":1.04,""M11"":1.12,""M12"":0.92}"
